platform_id,xtracker_id,created_at_utc,created_at_et,contract_date_et,tau_minutes,event_type,user_id,imported_at_utc,content
1984418795688247596,cmi4t026v00r7le04eha2fk69,2025-11-01T00:34:44+00:00,2025-10-31T20:34:44-04:00,2025-10-31,514,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-18T16:44:28.552Z,Thanks Michael ❤️ https://t.co/QBewPSLV4j
1984633298568819169,cmicri0uc00hzjr049hmpwy4s,2025-11-01T14:47:05+00:00,2025-11-01T10:47:05-04:00,2025-10-31,1367,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @MarioNawfal: 🇺🇸 ELON TO JOE ROGAN: “THE LEFT CAN’T EVEN SEE THE CENTER WITH A TELESCOPE""

""I think I’m a centrist.  But from the perspe…"
1984648803874717729,cmicri0uc00hyjr045y77w90j,2025-11-01T15:48:42+00:00,2025-11-01T11:48:42-04:00,2025-10-31,1428,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"Test drive a Cybertruck

It will blow your mind https://t.co/FembwPFnoh"
1984716634788090007,cmicri0uc00hxjr0477ahn4f4,2025-11-01T20:18:14+00:00,2025-11-01T16:18:14-04:00,2025-11-01,258,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @omead: Please vote YES to increase shareholder value.

There is no better leader than @elonmusk to make @Tesla’s ambitious goals a real…"
1984717014620078498,cmicri0uc00hwjr04tbk5mrkq,2025-11-01T20:19:45+00:00,2025-11-01T16:19:45-04:00,2025-11-01,259,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,Try tapping the Grok logo on the upper right of any post for instant analysis https://t.co/K4rlcEQxui
1984717060325458148,cmicri0uc00hvjr0485cebkoa,2025-11-01T20:19:56+00:00,2025-11-01T16:19:56-04:00,2025-11-01,259,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @SawyerMerritt: NEWS: SpaceX has successfully launched its 100th Starlink mission of 2025.

Over 2,550 Starlink satellites have been lau…"
1984850960376791378,cmicri0uc00hujr04lirl8bob,2025-11-02T05:12:00+00:00,2025-11-02T01:12:00-04:00,2025-11-01,792,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"Just finished a long AI5 design review with the Tesla California and Texas chip engineers. It’s going to be great.

And AI6 and AI7 will follow in fast succession. 

AI8 will be out of this world."
1984851012788896171,cmicri0uc00htjr04a81rzu2j,2025-11-02T05:12:12+00:00,2025-11-02T01:12:12-04:00,2025-11-01,792,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,RT @SpaceX: Watch Falcon 9 launch the Bandwagon-4 mission to orbit  https://t.co/yqReYHJ5p3
1984863390263869532,cmicri0uc00hsjr041y6cep4d,2025-11-02T06:01:23+00:00,2025-11-02T01:01:23-05:00,2025-11-01,781,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,RT @SawyerMerritt: It’s ultimately up to local European governments to decide when to allow Tesla to begin FSD (Supervised) testing and use…
1984870339785212018,cmicri0uc00hrjr04g6zljqbn,2025-11-02T06:29:00+00:00,2025-11-02T01:29:00-05:00,2025-11-01,809,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @FutureJurvetson: When SpaceX builds 𝕄𝕠𝕠𝕟 𝔹𝕒𝕤𝕖 𝔸𝕝𝕡𝕙𝕒, a permanent human settlement, we will finally have a generation who believes in th…"
1984888153183043918,cmicri0uc00hqjr04zvwewa5s,2025-11-02T07:39:47+00:00,2025-11-02T02:39:47-05:00,2025-11-01,879,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"Chip design review continues tomorrow, followed by Optimus demo review"
1984980390445248611,cmicri0uc00hpjr04wrw5d9hm,2025-11-02T13:46:18+00:00,2025-11-02T08:46:18-05:00,2025-11-01,1246,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @SpaceX: While our Transporter rideshare missions launch to a sun synchronous orbit, Bandwagon missions launch to a mid-inclination orbi…"
1985013074382991407,cmicri0uc00hojr04jf7mc0pc,2025-11-02T15:56:11+00:00,2025-11-02T10:56:11-05:00,2025-11-01,1376,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,Quantum computing is best done in the permanently shadowed craters on the Moon
1985013163650428951,cmicri0uc00hnjr04jlfooro0,2025-11-02T15:56:32+00:00,2025-11-02T10:56:32-05:00,2025-11-01,1376,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @YunTaTsai1: It is often overlooked that there is a 1.4T AI company with positive net income, operating multiple giga 🏭 in 🇺🇸, in-house…"
1985031929557868928,cmicri0uc00hmjr040yliphed,2025-11-02T17:11:06+00:00,2025-11-02T12:11:06-05:00,2025-11-02,11,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @XFreeze: Quantum computers work best in extremely cold and stable environments

Moon’s permanently shadowed craters have:
- Temperature…"
1985048731818094950,cmicri0uc00hljr04r7gk4n22,2025-11-02T18:17:52+00:00,2025-11-02T13:17:52-05:00,2025-11-02,77,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,Perhaps our purpose is to make the mind of a sentient sun
1985048995006423322,cmicri0uc00hkjr04hc6f1ga6,2025-11-02T18:18:55+00:00,2025-11-02T13:18:55-05:00,2025-11-02,78,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,RT @AutismCapital: This can only happen on X 👏🏼 https://t.co/WgvzDaOBcV
1985060186017710181,cmicri0uc00hjjr04ahg4zth0,2025-11-02T19:03:23+00:00,2025-11-02T14:03:23-05:00,2025-11-02,123,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,RT @tylervstorm: Grok predicted the future 🔮 https://t.co/UyYxrLLLIA
1985066899798122613,cmicri0uc00hijr043ce8auhj,2025-11-02T19:30:04+00:00,2025-11-02T14:30:04-05:00,2025-11-02,150,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,52 pages is a lot https://t.co/zlcJM6XtAU
1985079964988047789,cmicri0uc00hhjr042has4zjf,2025-11-02T20:21:59+00:00,2025-11-02T15:21:59-05:00,2025-11-02,201,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,The level of fraud is staggering https://t.co/14Gy4QOYti
1985104111499657502,cmicri0uc00hgjr04z148fwpx,2025-11-02T21:57:56+00:00,2025-11-02T16:57:56-05:00,2025-11-02,297,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,Maybe have more pool parties 😂 https://t.co/XVI40gpCm5
1985118256525681144,cmicri0uc00hfjr04g5olc1l2,2025-11-02T22:54:08+00:00,2025-11-02T17:54:08-05:00,2025-11-02,354,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,RT @XFreeze: Grok 4 Fast still ranks #1 on LMArena's search leaderboard https://t.co/E7XscF5EGq
1985163404949213277,cmicri0uc00hejr040g4hlwca,2025-11-03T01:53:32+00:00,2025-11-02T20:53:32-05:00,2025-11-02,533,tweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"My pool parties per year number is ~0.3, which is probably too low"
1985202572932821246,cmicri0uc00hdjr04afodosj0,2025-11-03T04:29:11+00:00,2025-11-02T23:29:11-05:00,2025-11-02,689,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @theallinpod: Elon Musk: Bill Gates is “not strong in the sciences.”

“I just wanna say, Billy G is not my lover.”

“You'd think that so…"
1985203704707027179,cmicri0uc00hcjr04zam0sy9s,2025-11-03T04:33:41+00:00,2025-11-02T23:33:41-05:00,2025-11-02,693,retweet,c4e2a911-36ec-4453-8a39-1edb5e6b2969,2025-11-24T06:24:36.796Z,"RT @vitrupo: Elon Musk says he's now racing to build the thing he once feared.

He tried to slow AI down, then realized there were only two…"
