bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<100,0,99,46726416636249182162750345478280273652903746254795205849792996905965026136245,False,0.0,52,1729274403,1729458003,0.0005,0.05
1,100-124,100,124,25016918195497313816964103557030729794238665316509304359220535287210560683925,False,0.0,57,1729274403,1729476002,0.0005,0.06
2,125-149,125,149,94486636747961457980126114173467310695622311886817612276697072024656246937797,False,0.0,64,1729274403,1729501202,0.0005,0.11
3,150-174,150,174,112039295945683563114070379267618975525127335155241106339938541579599470817435,False,0.0,73,1729274403,1729533602,0.0005,0.225
4,175-199,175,199,23009740812816834513466583536303288914661575339415959556065650073944551414374,False,0.0,89,1729274403,1729591202,0.0005,0.225
5,200-224 ,200,224,7371874776743840322368498407369071143453793042408590777386341559147861103938,False,0.0,106,1729274403,1729652402,0.0005,0.22
6,225-249 ,225,249,95396080944550477312270081236920161643100290168066220475188139699005412521695,False,0.0,122,1729274403,1729710002,0.0005,0.27
7,250-274,250,274,30815046476525695432682676013332897668576255609993723162028641578274129899687,False,0.0,130,1729274403,1729738802,0.0005,0.23
8,275-299,275,299,32153173718617769681284975252846814668731930435973518040349923343371656111491,False,0.0,148,1729274403,1729803602,0.0005,0.255
9,300+,300,999999,113520745821321419353769983771785603268913753779838861803391214056111999682978,True,1.0,148,1729274403,1729803602,0.09,0.9995
