bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,86988575000350044570537483467524579226634791184469827032703112939238779472906,False,0.0,2262,1758687904,1759366503,0.0005,0.495
1,20-39,20,39,75497463756320180370003715567587595979006575331892947679402495880020239650748,False,0.0,2272,1758687908,1759369503,0.0005,0.5
2,40-59,40,59,14356012329044487702323326399395672165480334846801769772042112796065474004587,False,0.0,2369,1758687912,1759398603,0.0005,0.495
3,60-79,60,79,33878612256433326769090905089610230761961331914796548553096647722263013927386,False,0.0,2374,1758687913,1759400104,0.0005,0.5
4,80-99,80,99,103869599842993439583310014798009550203169649075961131522403938147602748846243,False,0.0,2594,1758687908,1759466110,0.0005,0.495
5,100-119,100,119,68858346859927658298023078369040423730998052645310837280002635391889152164661,False,0.0,2606,1758687906,1759469704,0.001,0.5
6,120-139,120,139,86675814694295760860374078169987184497530954527849737067636474784303303398578,False,0.0,2922,1758687906,1759564505,0.0005,0.495
7,140-159,140,159,25303645312974615793856306961244285591601933787925822369071529313202117911521,False,0.0,3037,1758687919,1759599007,0.0005,0.5
8,160-179,160,179,70148431382658115561692912357691217340700269000106799449022428507728052379511,False,0.0,3212,1758687917,1759651505,0.0005,0.495
9,180-199,180,199,79796173748267469668683099948332868107898043414050443811277837808211494154363,False,0.0,3303,1758687904,1759678803,0.0005,0.5
10,200-219,200,219,115291510696883494436363609940675656288173638429771064375265870090941535047853,False,0.0,3397,1758687903,1759707004,0.0005,0.5
11,220-239,220,239,84832639299052358128480421073359688371174515332742134184740939576455417595970,False,0.0,3505,1758687906,1759739406,0.0005,0.495
12,240-259,240,259,47171297885020071719415799488853736037302032726779642555245248196015833551879,False,0.0,3692,1758687904,1759795504,0.0005,0.495
13,260-279,260,279,93830576494558699904032620686433602529723016045288596858158285194412978336050,False,0.0,3791,1758687916,1759825203,0.0005,0.495
14,280-299,280,299,49874607269182573770137332366591867295358778694484996387809528390570666437916,False,0.0,3962,1758687918,1759876509,0.0005,0.495
15,300-319,300,319,47193344719560503143080810645434710967443538795321042761695601607154910550261,False,0.0,4063,1758687919,1759906804,0.0005,0.495
16,320-339,320,339,68160667893436752087783210688938810028081379718717890955003678700002510172959,False,0.0,4201,1758687907,1759948209,0.0005,0.495
17,340-359,340,359,108864482691895228442033509225037209036935885891428015113517787871824955247675,False,0.0,4439,1758687919,1760019604,0.0005,0.495
18,360-379,360,379,87345646727129684983700529752684761591687129030580898368041196612183797839586,False,0.0,4556,1758687917,1760054706,0.0005,0.495
19,380-399,380,399,23820773695182998769422026574870784879749404491661384105976365421926455738192,False,0.0,4685,1758687909,1760093412,0.0005,0.495
20,400-419,400,419,59682993326566248132533294330820776685460235689846756373708851966892355983725,False,0.0,4794,1758687919,1760126105,0.0005,0.495
21,420-439,420,439,28290088742256848878355316934250888176763003940494364020521833739471319686223,False,0.0,5053,1758687904,1760203812,0.0005,0.495
22,440-459,440,459,57106484756690408932301586400783749576668683583426175940880734418679362393298,False,0.0,5325,1758687916,1760285404,0.0005,0.495
23,460-479,460,479,83872976808990021369675922683396058244326272011123353996249792268497295622659,False,0.0,5479,1758687906,1760331607,0.0005,0.495
24,480-499,480,499,106868227420632173028160205049035084005562066267715408338180041686566291231831,False,0.0,5596,1758687904,1760366713,0.0005,0.495
25,500-519,500,519,95190134028812540128215240089531199379355245859229111074359315131915036807265,False,0.0,5838,1758687908,1760439304,0.0005,0.495
26,520-539,520,539,69395312784719322871191012587257211743545982043678052332328704337089774983358,False,0.0,6093,1758687903,1760515808,0.0005,0.495
27,540-559,540,559,62772168804039126917054631311936806299322893252217307170628964141074924706585,False,0.0,6279,1758687903,1760571604,0.0005,0.495
28,560-579,560,579,57364412678950921178594789918145531600627651737435271154517481771994502311542,False,0.0,6537,1758687909,1760649019,0.0005,0.495
29,580-599,580,599,87624461300578313928865120035278324333946701802503986622272068064926242998426,False,0.0,6771,1758687917,1760719203,0.0005,0.51
30,600-639,600,639,107815436893386901190809336518247498124843916714497217894974942282545749552488,False,0.0,7045,1758688209,1760801705,0.0005,0.495
31,640-679,640,679,91231110985995807273086485893672468327244793745191680982749289437635891652216,False,0.0,7268,1758688217,1760868608,0.0005,0.495
32,680-719,680,719,110534130663791830072210221266202823474767101036385694059999433544427778190191,False,0.0,7430,1758688219,1760917208,0.0005,0.495
33,720-759,720,759,102772506938616529040827281826935380639624556782935122197998981532844037922442,False,0.0,7604,1758688217,1760969405,0.0005,0.495
34,760-799,760,799,37606981345185294416664189007127586855673662923066345231684389543728337361394,False,0.0,7941,1758688211,1761070513,0.0005,0.495
35,800-839,800,839,101473039030465110760212732385942489359753024292988283321760674360948847908833,False,0.0,8253,1758688215,1761164107,0.0005,0.495
36,840-879,840,879,34371523939805022634614015820698349835554394010829011005264791813714178874084,False,0.0,8797,1758688202,1761327315,0.0005,0.495
37,880-919,880,919,13677341576848966461378959052412610069801949139891042353316570766191049591511,False,0.0,9136,1758688217,1761428704,0.0005,0.495
38,920-959,920,959,67385337444133990668916765840379223255961696230554287033200815772350517964794,False,0.0,9788,1758688221,1761624313,0.0005,0.495
39,960-999,960,999,69559561440701100970963161195666518700590287053649293655727708683519363967143,False,0.0,9975,1758688214,1761680421,0.0005,0.495
40,1000-1039,1000,1039,113840173819247820004089691044772141671095976750831922113518983035788586456117,False,0.0,10143,1758688211,1761730808,0.0005,0.495
41,1040-1079,1040,1079,31777149150898440597673193300327028425805494835106454654947500018862341915824,False,0.0,10700,1758688209,1761909904,0.0005,0.495
42,1080-1119,1080,1119,49512743800530272637790049143130539075243147417522775856044786209919372854832,True,1.0,10939,1758688203,1761982212,0.0195,0.9995
43,1120-1159,1120,1159,115026216679979387649876068445753947906860665486878831165554258808071967475254,False,0.0,10941,1758688221,1761982206,0.0005,0.72
44,1160-1199,1160,1199,11746712010516763179370376835911577234387261607293851023364384378786772077722,False,0.0,10940,1758688211,1761982207,0.0005,0.495
45,1200-1239,1200,1239,66220312543701537744312027741311968874448918766648814687557712160318906677558,False,0.0,10939,1758688202,1761982212,0.0005,0.495
46,1240-1279,1240,1279,111429687390467932191144931731665530109822761725093867526301889345521613188727,False,0.0,10941,1758688209,1761982507,0.0005,0.495
47,1280-1319,1280,1319,20806776301471371768138406333900994126874260047355181462978917153287795648337,False,0.0,10938,1758688221,1761981607,0.0005,0.5
48,1320-1359,1320,1359,83268306031964807497410081446468369407831593239529098896841566031261968111596,False,0.0,10939,1758688219,1761981906,0.0005,0.495
49,1360-1399,1360,1399,69672116641876251411545854581914995304127587630847183902823569182199949157262,False,0.0,10941,1758688214,1761982508,0.0005,0.5
50,1400+,1400,999999,30880451352219382658925023665329907610112489758888986656806075498436200453644,False,0.0,10938,1758688223,1761981908,0.0005,0.495
