bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,80734199016176145937921653181809548843872457120517361265079001167615065484185,False,0.0,1347,1761625517,1762041907,0.0005,0.23
1,20-39,20,39,55016922540159209269301588068611287507057100903527319798638851299961495079442,False,0.0,1729,1761625505,1762156204,0.0005,0.5
2,40-59,40,59,26692455873016338233041190787781060800104960003354581982013956035076322056032,False,0.0,1797,1761625512,1762176306,0.0005,0.5
3,60-79,60,79,96888894639759380250712101660386259319965816949501556233511697027813369269656,False,0.0,1933,1761625507,1762217404,0.0005,0.5
4,80-99,80,99,74113476699135900678829384536105533328741724562765407351064815405656965878107,False,0.0,2117,1761625509,1762272606,0.0005,0.505
5,100-119,100,119,3857832537780746411768775370685249110791358643272554409690823454703888286896,False,0.0,2317,1761625507,1762332605,0.0005,0.54
6,120-139,120,139,112810989303755338316348289938057808754010318086434894368340034753258772489358,False,0.0,2798,1761625511,1762477214,0.0005,0.54
7,140-159,140,159,69413873258993893052526907005147478426132953394548899681912685563385901242292,False,0.0,2968,1761625515,1762528508,0.0005,0.72
8,160-179,160,179,71629729508513736811540046467321482489649727450615863438093692022085752845465,True,1.0,3028,1761625515,1762546508,0.055,0.9995
9,180-199,180,199,31865180866046039231443379548901221758145253502093373856100374904647371957821,False,0.0,3029,1761625507,1762546506,0.0005,0.545
10,200-219,200,219,88968035785392679167242134798736723880105150210438459091025537345158439150118,False,0.0,3028,1761625515,1762546508,0.0005,0.555
11,220-239,220,239,448470920397319501258828801330905995317550776146041460180255737465809730352,False,0.0,3030,1761625514,1762546508,0.0005,0.56
12,240-259,240,259,106894756411563822280162819845286708248260472516410877930557833756308463846589,False,0.0,3027,1761625515,1762546222,0.0005,0.535
13,260-279,260,279,57256006191890373385438863853792079742550341195887332162014294726515196972200,False,0.0,3029,1761625508,1762546220,0.0005,0.535
14,280-299,280,299,99615642749005101868267042157722769327760644677053273204611488697860089110996,False,0.0,3029,1761625517,1762546509,0.0005,0.525
15,300-319,300,319,45338137956189513956994991207610984601357040538180795292165435227238678038152,False,0.0,3029,1761625507,1762546506,0.0005,0.52
16,320-339,320,339,24553836724190715707994783474451151263356635078122039091624203461990812252142,False,0.0,3030,1761625505,1762546505,0.0005,0.515
17,340-359,340,359,67626642352726952588508960955511589845815098024330068800494402830474275598266,False,0.0,3028,1761625507,1762546220,0.0005,0.5
18,360-379,360,379,48053032249070628498317928324498440163818944317159477747153330748575127564681,False,0.0,3028,1761625510,1762546221,0.0005,0.5
19,380-399,380,399,33224061326281717286823358100305243678731632571521649861122380948349414234083,False,0.0,3028,1761625517,1762546223,0.0005,0.5
20,400-419,400,419,29953859897349175119424593003132216263459471020811341095546879677947919445872,False,0.0,3029,1761625509,1762546220,0.0005,0.495
21,420-439,420,439,49067989988364556394538618645714820344108001995551763090508387955196726567442,False,0.0,3029,1761625510,1762546507,0.0005,0.5
22,440-459,440,459,63149467363521714298691640199022785562890731186119287893477709119456838285216,False,0.0,3027,1761625518,1762546224,0.0005,0.5
23,460-479,460,479,64810209461302538380030264312504726045723917874343685012834301776748907927442,False,0.0,3030,1761625505,1762546505,0.0005,0.5
24,480-499,480,499,104569845610484046452449867777050507382299096166076764545407770379841542794420,False,0.0,3027,1761625518,1762546224,0.0005,0.5
25,500+,500,999999,52078650562639657808790081711312013367133408248908544823799864768112002467110,False,0.0,3027,1761625515,1762546222,0.0005,0.5
