bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,37461525191456541711161790692327871542775481342868444350166087483836917948496,False,0.0,1349,1763443207,1763847908,0.0005,0.06
1,20-39,20,39,42181593632843092022418871959499836295336215069715367973468768021804653424332,False,0.0,1399,1763443508,1763863212,0.0005,0.06
2,40-59,40,59,18310393435114523542402275524974436222477973445520759804949508028897835739794,False,0.0,1593,1763442906,1763920810,0.0005,0.06
3,60-79,60,79,51166628587592961919085144524335832142289022502534182428156179926645311199438,False,0.0,1734,1763442906,1763963106,0.0005,0.06
4,80-99,80,99,69962853299731988040342331957754873600721025534881417224100830060529946057477,False,0.0,1944,1763442908,1764026108,0.0005,0.065
5,100-119,100,119,24197276899716142881578676560536119087092695313288478812026201425738493131882,False,0.0,2073,1763442907,1764064818,0.0005,0.069
6,120-139,120,139,45404727774810555361136091716891766180690025187247790516740240110086418562999,False,0.0,2152,1763442908,1764088509,0.0005,0.152
7,140-159,140,159,105431065044003327266747372258517027431867499162010467580607634121792466526045,False,0.0,2214,1763443506,1764107708,0.0005,0.162
8,160-179,160,179,36108757308149142152243866477215353939707328540517520040184631709618013716157,False,0.0,2341,1763443205,1764145506,0.0005,0.19
9,180-199,180,199,69160645226271737539347759324743204081362152545981835301003617508065938434884,False,0.0,2527,1763443508,1764201624,0.0005,0.265
10,200-219,200,219,42472022538574438041481241828525419357056537146816643275020441453590771038006,False,0.0,2643,1763442909,1764235818,0.0005,0.28
11,220-239,220,239,28448726098814837299608452317251729491496600254177353343858451014065758586363,False,0.0,2727,1763442907,1764261012,0.0005,0.255
12,240-259,240,259,72742094994937598018126789665545447800399349587649929131548646543789062454013,False,0.0,3999,1763442907,1764642608,0.0005,0.499
13,260-279,260,279,93661578999493982802894523933664589168178152034676120966836555099031262841302,False,0.0,3061,1763442905,1764361206,0.0005,0.4995
14,280-299,280,299,101436553309946586683162338618868113184349443217075019831246566675118871228878,True,1.0,3060,1763442907,1764360908,0.0215,0.9995
15,300-319,300,319,2862370583131144644554698073088240459430912873861894462328574980532577953349,False,0.0,3059,1763443208,1764360911,0.0005,0.4995
16,320-339,320,339,91564249604682414143995670554886120876918035135116977869807419978097704164724,False,0.0,3058,1763443505,1764360906,0.0005,0.499
17,340-359,340,359,102842732035702913646751830872975078571481037667951867153328891484198801191164,False,0.0,3058,1763443207,1764360610,0.0005,0.06
18,360-379,360,379,111413337099565370458936809727305582495532556655837850019342784370812153163893,False,0.0,3059,1763443508,1764361210,0.0005,0.498
19,380-399,380,399,59689037851653446304025219283085570556816134706588559702508883285056509141520,False,0.0,3059,1763442908,1764360609,0.0005,0.498
20,400-419,400,419,26772517868937511562488037136432510891105301887271941869008187416345414639985,False,0.0,3058,1763443208,1764360610,0.0005,0.065
21,420-439,420,439,95086798250755972444353239761349007852871063759795804320860556286272517732150,False,0.0,3058,1763443206,1764360608,0.0005,0.06
22,440-459,440,459,20262733448508960025208730093429303339960373192582712563479964138779771761346,False,0.0,3060,1763443208,1764361211,0.0005,0.065
23,460-479,460,479,86283230633896609013955727423645413741181784662253452162386229467403189294337,False,0.0,3061,1763442905,1764361207,0.0005,0.4975
24,480-499,480,499,84768461634158511121821741377959609497718554052839439247325267571382387350402,False,0.0,3059,1763442909,1764360610,0.0005,0.06
25,500+,500,999999,66849785607573404965095747211664991965844067180281739436093593536143594450863,False,0.0,3059,1763442908,1764360609,0.0005,0.06
