bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,5772354136999534014888575539871166652058263575244043441120094759221648715075,False,0.0,901,1762541705,1762811705,0.0005,0.5
1,20-39,20,39,114678673634570672085796862743673634428790582889707090444745482805804025203721,False,0.0,901,1762541704,1762811704,0.0005,0.5
2,40-59,40,59,52935506933031147783292736760385856471808976711844056561173262436134530788078,False,0.0,900,1762541708,1762811406,0.0005,0.5
3,60-79,60,79,83466582954804205807780843681369731209889045556291632799791328167535413868734,False,0.0,901,1762541705,1762811704,0.0005,0.505
4,80-99,80,99,67055359427175767878221504343214753604049174442650363919595646695135235587904,False,0.0,900,1762541709,1762811407,0.0005,0.5
5,100-119,100,119,36449676422837114640384873918400770459853415905112079987143359839335473554263,False,0.0,901,1762541710,1762811710,0.0005,0.5
6,120-139,120,139,86403426663518235540989834679048049133973559834342816065065393692602090572711,False,0.0,901,1762541707,1762811707,0.0005,0.5
7,140-159,140,159,67466709370829423066664018364112903099182765053879338287950105291900450798752,False,0.0,901,1762541709,1762811709,0.0005,0.5
8,160-179,160,179,79748650636672279917129783658970653640845082771204855436620878766964944142180,False,0.0,901,1762541706,1762811706,0.0005,0.5
9,180-199,180,199,114222193851151932307613601914918689642063660397489035310975991618857680681238,False,0.0,901,1762541704,1762811704,0.0005,0.5
10,200-219,200,219,61276825022796886189397905912689950037664359319386113270484751539241922535547,False,0.0,983,1762541706,1762836306,0.0005,0.5
11,220-239,220,239,49061458232809186040022029190162421091742311457959796126903277118374812963515,False,0.0,1189,1762541709,1762898110,0.0005,0.5
12,240-259,240,259,94630485686494351008436142791089256693165052340878664817101771212922534111422,False,0.0,1328,1762541708,1762939811,0.0005,0.5
13,260-279,260,279,22412046369678206736665696838881624890484438952860731523388810313979220078422,False,0.0,1464,1762541711,1762980609,0.0005,0.5
14,280-299,280,299,77424314798438132010455594830605909016099300276958432941421902647247506211494,False,0.0,1624,1762541711,1763028608,0.0005,0.5
15,300-319,300,319,46416904248968757629489783331739562972525000367253704832435144755054801555910,False,0.0,1721,1762541705,1763057719,0.0005,0.5
16,320-339,320,339,57308932529834946670910777491679937327912546114313904908793892722054391103735,False,0.0,1752,1762541706,1763067006,0.0005,0.5
17,340-359,340,359,89662038981205774709677980659960973559105648073522840603282598452835602774094,False,0.0,1902,1762541708,1763112007,0.0005,0.5
18,360-379,360,379,22045906278162561225597928008859941503954081221178067956745628167646181572059,False,0.0,2020,1762541710,1763147410,0.0005,0.5
19,380-399,380,399,20046738372445333923688990517462220211942769113443136380026744198315461737648,False,0.0,2066,1762541707,1763161217,0.0005,0.5
20,400-419,400,419,2830555199874099467040718417396289825403422038530303720984003285829684148309,False,0.0,2341,1762541709,1763243710,0.0005,0.5
21,420-439,420,439,71488154269038630040358484123672920316778253866056218929149657722277935564579,False,0.0,2533,1762541710,1763301311,0.0005,0.5
22,440-459,440,459,110301688553887542515426305614920876992303161864891070594359806576028208559420,False,0.0,2638,1762541706,1763332806,0.0005,0.5
23,460-479,460,479,78763110265046326111012521560906035862339865780499667179418518930037669026424,False,0.0,3018,1762541709,1763446807,0.0005,0.5
24,480-499,480,499,27273285838393614939118385609345277755411870671555096129728397107603037835144,False,0.0,3055,1762541709,1763457907,0.0005,0.495
25,500-519,500,519,37313803232118656436305760838238717144376030482583329961543406534701204713719,False,0.0,3510,1762541708,1763595013,0.0005,0.495
26,520-539,520,539,99240723598274067560585406289408266498596385803596439572362370114129608073583,False,0.0,3650,1762541709,1763637008,0.0005,0.5
27,540-559,540,559,26304822646430110999848241829525775526106839117199578059845030017248324194506,False,0.0,4713,1762541706,1763955605,0.0005,0.5
28,560-579,560,579,75401714326332368981657830751555404873800642741979672506770509509863524671883,False,0.0,4289,1762541706,1763828423,0.0005,0.495
29,580-599,580,599,85639652431197272857616338361455602200827159178750146786726088029770112537701,False,0.0,4379,1762541709,1763855409,0.0005,0.495
30,600-639,600,639,64116613198837612477677477140657990506205523309150477948703799890014256475983,False,0.0,4714,1762541705,1763955905,0.0005,0.495
31,640-679,640,679,27841612407206013853662554990989659816686522054396394687057832756536033121115,False,0.0,5116,1762541708,1764076507,0.0005,0.5
