bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,14668161128898204909135013710440140187883301059043616662260014856855966233181,False,0.0,1075,1763788218,1764110406,0.0005,0.016
1,20-39,20,39,41841205420284481819913079653992426912738633341064068684032650436035862946105,False,0.0,1317,1763788222,1764183010,0.0005,0.0155
2,40-59,40,59,61850905816015868947498811883083923809932417282068508109199814397291457218514,False,0.0,1414,1763788223,1764212114,0.0005,0.016
3,60-79,60,79,94960376941826017032573800658295047196102152410940508047757342602317432132857,False,0.0,1554,1763788218,1764254106,0.0005,0.0255
4,80-99,80,99,67321022290183709578704181988544384472168386547575800865585850458730715585122,False,0.0,1627,1763788222,1764276010,0.0005,0.027
5,100-119,100,119,3842340919736528791601704998923385776954584826129641169627069857567418020178,False,0.0,1810,1763789119,1764331809,0.0005,0.085
6,120-139,120,139,94161638479866946295026587559781093094680497310704708788287091032897639476640,False,0.0,1945,1763788821,1764372010,0.0005,0.125
7,140-159,140,159,48514447448556427880607182322658915599357012771781869790779283955333501061790,False,0.0,2255,1763788821,1764465009,0.0005,0.155
8,160-179,160,179,89600289420397839773310011066711725308396586692400412093430768346101115040706,False,0.0,2297,1763788821,1764477609,0.0005,0.22
9,180-199,180,199,72120578869531095004094716335961364809220261652471852424567957900641507181307,False,0.0,2551,1763788821,1764553809,0.0005,0.19
10,200-219,200,219,85038375979532791573640357086732992763253687744518580269554232525108171598040,False,0.0,2670,1763788820,1764589507,0.0005,0.22
11,220-239,220,239,40488168857718304254043095056029325835962496283153304460949080983821923154211,False,0.0,2911,1763788822,1764662112,0.0005,0.3145
12,240-259,240,259,80161724132109690345122325730367327635884614140575617086574504279999230281503,False,0.0,3033,1763788821,1764698427,0.0005,0.61
13,260-279,260,279,88988335803188102370558881962418779553414528679856075941477047587175497475254,True,1.0,3061,1763789120,1764707109,0.037,0.9995
14,280-299,280,299,93294906480534330472014636747477319784749848144833453104512567617230302176409,False,0.0,3060,1763789120,1764707110,0.0005,0.451
15,300-319,300,319,54313020339832441052723491272931207708299331753729362087445617593439845399137,False,0.0,3061,1763789119,1764707109,0.0005,0.215
16,320-339,320,339,38291870807356566025035905051781059899496189650628214209699329980362605601356,False,0.0,3060,1763789120,1764707110,0.0005,0.1905
17,340-359,340,359,53776252143986535360592437095068441999662409164767708149127831785940885626439,False,0.0,3061,1763789119,1764707109,0.0005,0.135
18,360-379,360,379,56751135598992228735162625714943814899554838228338858485781593871540640378325,False,0.0,3061,1763789119,1764707109,0.0005,0.071
19,380-399,380,399,21391028026743703425443875465318127970431791070931188889812542537500981383112,False,0.0,3060,1763789120,1764707110,0.0005,0.075
20,400-419,400,419,37057505527625279304724527343111926434734556779854093355285961603932547367523,False,0.0,3064,1763788218,1764707106,0.0005,0.0255
21,420-439,420,439,55210517524268228311579259374672489675463688322009585150137797035047635033968,False,0.0,3064,1763788219,1764707107,0.0005,0.026
22,440-459,440,459,29300595376222298835429149171363646324892679716613500910420088559712831668990,False,0.0,3064,1763788221,1764707109,0.0005,0.0155
23,460-479,460,479,9799725157043851516351043631736112680240634924753587090443722072130277636355,False,0.0,3063,1763788223,1764707111,0.0005,0.016
24,480-499,480,499,18426061536068755532595205604419741966914925087409237052398771840884619104920,False,0.0,3064,1763788218,1764707106,0.0005,0.016
25,500+,500,999999,11057092655756388245579367590893954881147403600309906206435733000215726834841,False,0.0,3064,1763788219,1764707107,0.0005,0.015
