bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,106037066448101665006563357319109004381022518109082057265031641534539178027714,False,0.0,1067,1764652807,1764972608,0.0005,0.006
1,20-39,20,39,83606179584237917301189090342148329443475005549882953872407725908499293555303,False,0.0,1142,1764652808,1764995109,0.0005,0.0285
2,40-59,40,59,80116895465337999442930801287404989111475841866914624082045382027673255240357,False,0.0,1276,1764652808,1765035309,0.0005,0.019
3,60-79,60,79,35976898769797030732562682902513437416775369741279301792922806839791341931681,False,0.0,1282,1764652810,1765037111,0.0005,0.019
4,80-99,80,99,45972249761847385967437153761928757046521654179011049118848319960627437456301,False,0.0,1298,1764652807,1765041910,0.0005,0.019
5,100-119,100,119,62502181204449175999246543254348833631698007753461700175200694251714107684949,False,0.0,1373,1764652806,1765064406,0.0005,0.4995
6,120-139,120,139,43116088791356586277605879656453770295837211301615212036284920023652178414906,False,0.0,1467,1764652809,1765092612,0.0005,0.07
7,140-159,140,159,20801280109811207581896383986858927311696826134472237330962790401388918594645,False,0.0,1539,1764652809,1765114212,0.0005,0.1
8,160-179,160,179,8774050868476336731903961043019814169300924533094538600955987028056219990140,False,0.0,1683,1764652809,1765157411,0.0005,0.255
9,180-199,180,199,76357573463441430644643506030838243971804060840491531436110593280691879860432,False,0.0,1734,1764653409,1765173308,0.0005,0.54
10,200-219,200,219,81368503322159894499309556997333978230724033512198996906968574632752932603456,False,0.0,1825,1764652808,1765200008,0.0005,0.26
11,220-239,220,239,1824798996028796484101473337873486366665781290624346244431459207761328439617,False,0.0,1825,1764652806,1765200006,0.0005,0.555
12,240-259,240,259,99365684581266288050411849685562270322572547201834407423294862659223643296878,False,0.0,1910,1764652809,1765225519,0.0005,0.175
13,260-279,260,279,35872517250967967598216737908353468216414175147818281809912852155446024361464,False,0.0,2069,1764652807,1765273208,0.0005,0.175
14,280-299,280,299,100216074460892758294614879139145025006681843654661259241303007748498046153597,False,0.0,2212,1764652807,1765316108,0.0005,0.16
15,300-319,300,319,96009307030292144385350556849693310161972792937111519006011013874660947200073,False,0.0,2238,1764652807,1765323907,0.0005,0.115
16,320-339,320,339,657718547142392625775891699561026389100097640092309933477143811423344683850,False,0.0,2364,1764652806,1765361706,0.0005,0.114
17,340-359,340,359,20337530142828945423829511926027581777324462526394790375600818927590176853921,False,0.0,2456,1764652808,1765389308,0.0005,0.123
18,360-379,360,379,79478800529602470439450657303726550019102312050594146761483158826020088345209,False,0.0,2546,1764652809,1765416310,0.0005,0.1195
19,380-399,380,399,45806629722370160795435609491950921926424998856207042214830259038010782949857,False,0.0,3015,1764652806,1765557006,0.0005,0.1605
20,400-419,400,419,83587716288840198506674608429680056997112911082954446785089076626080868196199,False,0.0,2784,1764652807,1765487707,0.0005,0.18
21,420-439,420,439,35759333172074512620002513492905862568579753425945071035250157097595352882756,False,0.0,2960,1764652808,1765540508,0.0005,0.2845
22,440-459,440,459,27868493525527682211514604330524657202745118492356122212801749559716299801551,True,1.0,3060,1764652807,1765570808,0.0035,0.9995
23,460-479,460,479,56065017422968381464038679393788044045112759885181042446290623315972596603324,False,0.0,3060,1764652806,1765570807,0.0005,0.492
24,480-499,480,499,57433717521068873549405424238196390175712225474217147931397925441061813839265,False,0.0,3061,1764652807,1765571108,0.0005,0.3035
25,500+,500,999999,82290494205126596221932116595597359864571478478999982656316176190479156221288,False,0.0,3059,1764652809,1765570510,0.0005,0.4265
