bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,88308233776489999489910057502553345550180158410910329756005172692984277048738,False,0.0,11121,1761279909,1764628506,0.0005,0.51
1,20-39,20,39,76591188935329341969856767026521567765578231018650625246850962565493023088146,False,0.0,11354,1761279917,1764698425,0.0005,0.52
2,40-59,40,59,45393052672018065546128293228075968634153343413971859537600397250476498208098,False,0.0,11421,1761279924,1764719110,0.0005,0.495
3,60-79,60,79,103327364950455084241538599552832888628681484649247284372848449560254105576565,False,0.0,11627,1761279924,1764780914,0.0005,0.5
4,80-99,80,99,68504212107827797165686314062400863261590282640749172703882883672787393235179,False,0.0,11862,1761279905,1764850806,0.0005,0.495
5,100-119,100,119,64149334148144397156302668037932984783511184229608614969464268090729334023879,False,0.0,11908,1761279923,1764864910,0.0005,0.5
6,120-139,120,139,4359711063544912338968878480277911671556310458420111270147441059185915505695,False,0.0,11910,1761279915,1764865208,0.0005,0.495
7,140-159,140,159,70020438669155282649541613253336523676055438641972422165161130628737038127630,False,0.0,12130,1761279923,1764931530,0.0005,0.52
8,160-179,160,179,50028166213694674636006320862902531599300382964312495590970011183995029691839,False,0.0,12219,1761279920,1764958510,0.0005,0.52
9,180-199,180,199,27126508848475187912742953346320815967474352916175999413692289216259671920134,False,0.0,12266,1761279908,1764971407,0.0005,0.52
10,200-219,200,219,22056799774511377725259308187340569877772240261744389330276114627366252602643,False,0.0,12342,1761279923,1764995112,0.0005,0.52
11,220-239,220,239,96636678197523808160020935512293293916501355924521532212608322977360747790062,False,0.0,12479,1761279906,1765035610,0.0005,0.525
12,240-259,240,259,106878912879672364616632959279386444969366740394849665682072917496464476114161,False,0.0,12484,1761279904,1765037106,0.0005,0.57
13,260-279,260,279,60045000572797997059568251471972493554013286302425974834527706634012035019295,False,0.0,12497,1761279919,1765041914,0.0005,0.525
14,280-299,280,299,98589579895362801689147054422724857189053383696774710901265977753377337980358,False,0.0,12576,1761279907,1765064407,0.0005,0.525
15,300-319,300,319,73813074261608902284472086984893168690337602986768548649084901869854518270268,False,0.0,12668,1761279906,1765092607,0.0005,0.525
16,320-339,320,339,13783615925698137577038162631581707609232359804790988475080582281861181303662,False,0.0,12740,1761279911,1765114209,0.0005,0.52
17,340-359,340,359,38623650856637910081239552845472930111993734798150537325833713659570938545052,False,0.0,12884,1761279912,1765157409,0.0005,0.505
18,360-379,360,379,63409821645354029671627910076385546176765097033119426263009558312821697173352,False,0.0,12964,1761279917,1765181408,0.0005,0.505
19,380-399,380,399,22169890609288676646668442691956666491337705482678681257360464806419171230359,False,0.0,13024,1761279916,1765199408,0.0005,0.505
20,400-419,400,419,29099877528315179720252307625293837577615439510647281133367081775905761935674,False,0.0,13026,1761279913,1765199719,0.0005,0.505
21,420-439,420,439,11870524815229357603185896719358632859358338803365699160120351379719437448773,False,0.0,13112,1761279904,1765225504,0.0005,0.51
22,440-459,440,459,96507426717080014290540260556386859730181427923649094828901658147530478353051,False,0.0,13409,1761279909,1765314607,0.0005,0.505
23,460-479,460,479,92181685427727701800847004897833523039580964999345146458264178926371427478305,False,0.0,13411,1761279921,1765316111,0.0005,0.505
24,480-499,480,499,50412210523740011906216992957279821034085214402050168333662456961325362664667,False,0.0,13437,1761279923,1765323622,0.0005,0.505
