bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,29647825832883344229255657683374944225108372316628423020028613680121538165590,False,0.0,1181,1766466911,1766820911,0.0005,0.006
1,20-39,20,39,1690854329788941683079357676895229871447055868843717120085704175229169500935,False,0.0,1331,1766466907,1766865908,0.0005,0.006
2,40-59,40,59,101155200189532438920908965042570486509442098290681610353740597451218239125731,False,0.0,1429,1766467212,1766895911,0.0005,0.135
3,60-79,60,79,75106027363262768325569944391686596514794744260718294603719219641043338114326,False,0.0,1516,1766467507,1766922309,0.0005,0.455
4,80-99,80,99,106592500136608563221620658162071462876574670403131043444752528156956682081081,False,0.0,1634,1766466910,1766957113,0.0005,0.5
5,100-119,100,119,52688101721231777096675361513109797209678591809571186634859299212777338064981,False,0.0,1779,1766466910,1767000910,0.0005,0.5
6,120-139,120,139,78264855668133357874871175517051431954883479708152447532051833363231861093859,False,0.0,1798,1766466910,1767006610,0.0005,0.5
7,140-159,140,159,113638124398967689103843884648503980891986671616240456188595348972808919020441,False,0.0,1869,1766466912,1767027913,0.0005,0.5
8,160-179,160,179,57035103945905621095754820397371398288110705285743289878196194289920948169347,False,0.0,1883,1766466911,1767032111,0.0005,0.5
9,180-199,180,199,76961111664127136505061150212069304198872456374908079992964395272609164901850,False,0.0,1938,1766467508,1767049218,0.0005,0.45
10,200-219,200,219,54202350866795898327846933621107385101414728565404870142662350701290588181650,False,0.0,2062,1766466910,1767085810,0.0005,0.5
11,220-239,220,239,3355464269689023386006249346551213329191146860965285753558419850450103185094,False,0.0,2175,1766466910,1767119710,0.0005,0.1
12,240-259,240,259,87660505179610915413201359728400407990422810533813836691558890250887955954560,False,0.0,2198,1766466908,1767126609,0.0005,0.1
13,260-279,260,279,47330312211722843877338707623278624171082529594059623060773643483161185447294,False,0.0,2229,1766466910,1767135911,0.0005,0.11
14,280-299,280,299,72382014446750291380950921981896250110568341069703238283619632283682113140914,False,0.0,2275,1766466911,1767149714,0.0005,0.5
15,300-319,300,319,34169627426232316090172589323311862448743288843086026038699450433915405005373,False,0.0,2361,1766466911,1767175511,0.0005,0.505
16,320-339,320,339,73311367225531203971548783239580238691479453647068791929335605330783222923674,False,0.0,2474,1766466912,1767209419,0.0005,0.225
17,340-359,340,359,52897037668352116275563753620085557313081717411004126641829114557773203177400,False,0.0,2547,1766466911,1767231311,0.0005,0.5
18,360-379,360,379,61407955429961128234958263492876614984225042565348133688379498715353830918560,False,0.0,2555,1766466912,1767233712,0.0005,0.5
19,380-399,380,399,107815337235947244207767462995791169052707454211129705828325787494453743182381,False,0.0,2578,1766466910,1767240623,0.0005,0.5
20,400-419,400,419,13599369387528736643044842323972062187638368829952690589203511205421520031511,False,0.0,2817,1766466909,1767312307,0.0005,0.5
21,420-439,420,439,91978014057800726668519931246336618837859067378299500153751854345762933975918,False,0.0,2847,1766466912,1767321327,0.0005,0.5
22,440-459,440,459,52354262146803919729928191043819588056950489657743250751085999062574490185434,False,0.0,2923,1766466909,1767344109,0.0005,0.495
23,460-479,460,479,28930667176828097798361758759286792413043998985213248924800681060437857453238,False,0.0,3062,1766466908,1767385808,0.0005,0.5
24,480-499,480,499,6503990890659097200816199702981235303134908296242386096122453936919955938543,False,0.0,3063,1766466910,1767386110,0.0005,0.97
25,500-519,500,519,79400246709752396736063477513777780804288759022756605649378706923755969457979,True,1.0,3067,1766466912,1767387312,0.0005,0.9995
26,520-539,520,539,110461995199558501837270585442770398766953950801428177603358238924969537597051,False,0.0,3063,1766466907,1767386107,0.0005,0.2035
27,540-559,540,559,100611245716719877628268683260467135796846257281101949855818554948104992347079,False,0.0,3076,1766466907,1767390006,0.0005,0.1565
28,560-579,560,579,58427361492978328861782923823454642579031976487551946587069110813558439885776,False,0.0,3076,1766466909,1767390009,0.0005,0.5
29,580+,580,999999,543218696455632355045244748547681658948067578202881040208483024542712664448,False,0.0,3076,1766466908,1767390007,0.0005,0.5
