bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,76130514325675711786911553799664802098558046303371521222957782888492521216547,False,0.0,1114,1767417609,1767752113,0.0005,0.035
1,20-39,20,39,34591673880919721186456706881780280171824866030294041747011759726816146977448,False,0.0,1277,1767417611,1767801012,0.0005,0.055
2,40-59,40,59,78333190861365085394714070217576639177195788048649172866857953090289063982630,False,0.0,1293,1767417610,1767805812,0.0005,0.055
3,60-79,60,79,37350090623061614089288823753882334548332112675288215583928637570269878491025,False,0.0,1335,1767417608,1767818410,0.0005,0.055
4,80-99,80,99,92917365887515130051383410567893455797819361364737029998143661774765802856418,False,0.0,1364,1767417612,1767827112,0.0005,0.055
5,100-119,100,119,109974985512652109189660257701944518202937461883523334472349595835939607054475,False,0.0,1510,1767417611,1767870914,0.0005,0.055
6,120-139,120,139,22089538007477884303085690802993550232137579038703154376716103889595408955749,False,0.0,1596,1767417912,1767897019,0.0005,0.06
7,140-159,140,159,15682297456068423583545082375551779488911015211103449874861124420061276674186,False,0.0,1605,1767417909,1767899724,0.0005,0.055
8,160-179,160,179,88632133182719916295736371870393742427190894722233921520082550692502728228550,False,0.0,1615,1767417910,1767902712,0.0005,0.075
9,180-199,180,199,83569224324369946469553404412856089307399613281829805835648827268160683071776,False,0.0,1635,1767417910,1767908712,0.0005,0.07
10,200-219,200,219,74211090292308766883719892452193137802512771933204528840605403886288269231687,False,0.0,1800,1767417909,1767958214,0.0005,0.07
11,220-239,220,239,32994964527732134971679857193122358099973729543933818105359219509235561047074,False,0.0,1804,1767417910,1767959413,0.0005,0.07
12,240-259,240,259,84281624181422864258457805694044190034985477951477000976129111420764764371564,False,0.0,1807,1767417909,1767960311,0.0005,0.075
13,260-279,260,279,42954670527234575770003276481970047733879835997723622266209767221524963998382,False,0.0,1957,1767417910,1768005314,0.0005,0.08
14,280-299,280,299,1030104058420149326389571717731674432976088856775169298357329239099195014392,False,0.0,1998,1767417910,1768017614,0.0005,0.08
15,300-319,300,319,90838029437827485372197999738479871826543849272340825147845247931165451945133,False,0.0,2058,1767417913,1768035627,0.0005,0.1
16,320-339,320,339,12037990194956367541023163574339379976273333439647577560879089674527506560885,False,0.0,2141,1767417910,1768060513,0.0005,0.09
17,340-359,340,359,95221596601280015434385186484168780384181943542616784172885939338525989637305,False,0.0,2156,1767417910,1768065013,0.0005,0.09
18,360-379,360,379,75578882657185035228190552675027033141797358361079378846767213372223601927444,False,0.0,2165,1767417907,1768067709,0.0005,0.1
19,380-399,380,399,97469070302828329560307858004895330168617640205246005702320798676237646420966,False,0.0,2296,1767417911,1768107013,0.0005,0.105
20,400-419,400,419,69246401458042731942886704957026678550407036514993733624805430663156944980327,False,0.0,2375,1767417911,1768130725,0.0005,0.1
21,420-439,420,439,63336570604119633142943183234585132487249335762877019694952360998049546883249,False,0.0,2401,1767417907,1768138508,0.0005,0.105
22,440-459,440,459,107799223262341930615358236267389529639522694596984101698926842819591068573293,False,0.0,2489,1767417908,1768164910,0.0005,0.11
23,460-479,460,479,45923654835241735709388924647966886051187336753143117638470392392145298605234,False,0.0,2564,1767417912,1768187414,0.0005,0.125
24,480-499,480,499,27122538395767422281586488399914896946140933866674308085477294855680138304935,False,0.0,2711,1767417910,1768231515,0.0005,0.145
25,500-519,500,519,28476908320614451508354406075440151536068474367670035891214063443226930490517,False,0.0,2822,1767417911,1768264821,0.0005,0.145
26,520-539,520,539,2789161844726902174013772179998168626464142596496773372879458268499305714240,False,0.0,2935,1767417912,1768299030,0.0005,0.155
27,540-559,540,559,94035036575423718066784844488520413801163601794774734464810575413088078037754,True,1.0,3064,1767417907,1768337710,0.0325,0.9995
28,560-579,560,579,46603340279235063839571811803122482767899313705046023333535064619104820937729,False,0.0,3064,1767417907,1768337709,0.0005,0.7605
29,580+,580,999999,28727942380951752423609912189702522251849647583509441149490266655643363714397,False,0.0,3059,1767417909,1768336214,0.0005,0.8395
