bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,16146187169755442139082328393718005098580342779561705308044313350666004594762,False,0.0,3227,1766554807,1767523507,0.0005,0.495
1,20-39,20,39,67517715054865400742759008618513334979267489105924402083579959018391951513013,False,0.0,3282,1766554811,1767540023,0.0005,0.495
2,40-59,40,59,9474015084895479903375049572752619265797266825275865746997719459805703232896,False,0.0,3290,1766554809,1767542420,0.0005,0.49
3,60-79,60,79,61255351969064112889978704986197161536370715828223452163465636279677264912660,False,0.0,3291,1766554808,1767542720,0.0005,0.49
4,80-99,80,99,72503681039121281061092642204681122763281557760517365165287574260858299432357,False,0.0,3327,1766554812,1767553512,0.0005,0.495
5,100-119,100,119,51625699822308123524937860764411764987024156163331531411313326594125708546692,False,0.0,3327,1766554812,1767553512,0.0005,0.495
6,120-139,120,139,106915454952247583297209265686617899729526990585875189673030966449705206022403,False,0.0,3327,1766554809,1767553510,0.0005,0.495
7,140-159,140,159,98931140736721418419590189394371187707638499549652995394598496641115750672953,False,0.0,3327,1766554812,1767553513,0.0005,0.495
8,160-179,160,179,45009251204709827820969898012644666643367844419476631165190555698280044040328,False,0.0,3328,1766554811,1767553817,0.0005,0.495
9,180-199,180,199,97463633699182678477345649931744432106868491022152655017794987822408991170998,False,0.0,3328,1766554811,1767553815,0.0005,0.49
10,200-219,200,219,46153705774845605242987851029291935850251136758899207725071923880960961490508,False,0.0,3331,1766554812,1767554713,0.0005,0.495
11,220-239,220,239,96199652234222943523219438841202915324214412353173444921969872983368416003432,False,0.0,3351,1766554811,1767560712,0.0005,0.515
12,240-259,240,259,81450957997232124811442437093193468939175155825744652637448252350869649483838,False,0.0,3350,1766554810,1767560417,0.0005,0.51
13,260-279,260,279,93126052143512761646243148429501996015278331121436644097084637991076706904319,False,0.0,3425,1766554811,1767582911,0.0005,0.51
14,280-299,280,299,63948121320519013603161860035265907058504274057168463976788791751799053178223,False,0.0,3612,1766554813,1767639017,0.0005,0.515
15,300-319,300,319,38746537522783923746151509966766227585320941512561496165941942633381884870152,False,0.0,3750,1766554812,1767680412,0.0005,0.515
16,320-339,320,339,109945042515962648746540834826571539616257059834722427069416756339643788497337,False,0.0,3750,1766554811,1767680411,0.0005,0.495
17,340-359,340,359,7596498505491241638820444433411434373417353357638066574579134888067942872047,False,0.0,4036,1766554809,1767766811,0.0005,0.495
18,360-379,360,379,84728936269704718270393532645065397655943048524728007616236602908818963105108,False,0.0,4036,1766554808,1767766809,0.0005,0.49
