bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,112842648295318572668781388234554673238468212743895894210575494415258878098230,False,0.0025,60,1769709620,1769919918,0.0015,0.027
1,40-64,40,64,38984398725005677202421758999675586298752340437303165394416783923852484607036,False,0.015,60,1769709627,1769919923,0.009,0.0605
2,65-89,65,89,73238651947427216484164997125430937941425535751226936093399660743200917723009,False,0.15,60,1769709615,1769919914,0.065,0.205
3,90-114,90,114,113745993641057895783154945856796329162821126815646581863567051503830822903188,False,0.39,60,1769709623,1769919920,0.23,0.4
4,115-139,115,139,104396439027672616220667984498336797033166882331266407439383672788760088400302,False,0.285,60,1769709621,1769919919,0.215,0.33
5,140-164,140,164,71486226992861672985965340546885974698037333753806487915988384862509003980231,False,0.135,60,1769709620,1769919918,0.135,0.21
6,165-189,165,189,72724614818891608366239794722590261903815905628396384921104611290134842661002,False,0.0425,60,1769709620,1769919917,0.0385,0.135
7,190-214,190,214,79483757875147214297760880236965903228196050582048317561454179854532497198816,False,0.0075,60,1769709625,1769919922,0.007,0.085
8,215-239,215,239,99459486657055857780681669801245525509917551413903031002491255144183036748568,False,0.0035,60,1769709627,1769919924,0.0035,0.0275
9,240+,240,999999,89953999171690930955033960094772647457376582946879390427187442766394248415312,False,0.0015,60,1769709616,1769919915,0.0015,0.029
