bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,38875286367880477879917636319177459883214150795772469030235544379369284414772,False,0.0,1261,1769838018,1770216315,0.0005,0.3705
1,20-39,20,39,47202609308730109183189893796319760838845750683534741626563222027765670264341,False,0.0,1267,1769838017,1770218114,0.0005,0.011
2,40-59,40,59,1567529353560464747239745141850680768072736464799986987106124423447419856529,False,0.0,1373,1769838017,1770250215,0.0005,0.011
3,60-79,60,79,65445504452448137255756156029895968984588618319502090105878337740322115619121,False,0.0,1476,1769838020,1770281116,0.0005,0.016
4,80-99,80,99,39050407516984384055581025525714526167028047664364174801225472165473629274778,False,0.0,1808,1769838014,1770380711,0.0005,0.016
5,100-119,100,119,105037385385456946140674407981516361248565542886726187238637727472785318098621,False,0.0,1954,1769838016,1770424814,0.0005,0.016
6,120-139,120,139,60041398071112960140874646482141633742497664494262507946882854750332290819349,False,0.0,2283,1769838319,1770524138,0.0005,0.015
7,140-159,140,159,25773870915955591998015004056416967209504372404808129207964137149550213815401,False,0.0,2398,1769838022,1770558619,0.0005,0.031
8,160-179,160,179,90180639212607388648343901815316364828681268453324414731846180660068586554426,False,0.0,2468,1769838315,1770579626,0.0005,0.129
9,180-199,180,199,25222905998469540116678747734009624933807903309411767963185088324919741162058,False,0.0,2575,1769838318,1770611716,0.0005,0.314
10,200-219,200,219,93314787521819367663467503929427368679076203354762942516951988214542645942567,False,0.0,2700,1769838322,1770650423,0.0005,0.334
11,220-239,220,239,77473914853544811864437232891683520973182560147983778700819473268828221117615,False,0.0,2716,1769838321,1770654919,0.0005,0.475
12,240-259,240,259,24281809866521022873319157103913146294244295946539959525947351076312057886519,False,0.0,2769,1769838316,1770670214,0.0005,0.475
13,260-279,260,279,42235730475740954884964764729714203954198703568778561673540485324935707710584,False,0.0,2902,1769838317,1770709814,0.0005,0.475
14,280-299,280,299,65697447007490239662103132067466038388719833418964986872351587314146681957809,False,0.0,2999,1769838318,1770738915,0.0005,0.5605
15,300-319,300,319,113592046001640167161861407676087528684965456065181985095223547810366128892569,False,0.0,3003,1769838321,1770741333,0.0005,0.7235
16,320-339,320,339,113462200714819821592421474794773362115316476604250677765998030818949005818536,False,0.0,3015,1769838319,1770743732,0.0005,0.7105
17,340-359,340,359,57939447639811935503631691450531811489571334190261891252108515045677758908099,False,0.0,3021,1769838321,1770747024,0.0005,0.5495
18,360-379,360,379,4185707885824485606367413695152074422468624017857006880685524828757791263493,True,1.0,3062,1769838319,1770757828,0.0005,0.9995
19,380-399,380,399,115419871904600711710872318171429333144354097929687072057145804136766508182855,False,0.0,3050,1769838318,1770754215,0.0005,0.5
20,400-419,400,419,110009339282233459288514568516186967243447578864687112796632914012443713898077,False,0.0,3059,1769838315,1770757218,0.0005,0.5
21,420-439,420,439,12516605653769534033635693005325370957597703980827156453769265374683297264849,False,0.0,3054,1769838314,1770755712,0.0005,0.5
22,440-459,440,459,11081409391254141473286814258314137817800342342386129214986548250798359466103,False,0.0,3060,1769838319,1770757233,0.0005,0.485
23,460-479,460,479,26398494855542329496729221211617541053134333662606818743858968868805727592153,False,0.0,3060,1769838317,1770757227,0.0005,0.485
24,480-499,480,499,59310703250482179752559761848325473226950165621311954014261111174974702288028,False,0.0,3059,1769838316,1770757223,0.0005,0.48
25,500-519,500,519,114583021371957794824224461263060536669656496873964870936683039180983637849594,False,0.0,3048,1769838320,1770754218,0.0005,0.435
26,520-539,520,539,35191540390941284529961748289690783304240582090884248304083546762079169162336,False,0.0,3051,1769838319,1770754517,0.0005,0.43
27,540-559,540,559,4811100683876380175225942221812530753682206557734119966062025658648352137649,False,0.0,3060,1769838318,1770757230,0.0005,0.435
28,560-579,560,579,26581351221251588296116616452677140576246094193556578211383629113486599921476,False,0.0,3042,1769838322,1770754219,0.0005,0.43
29,580-599,580,599,81649795214781819623783063014875186040591519082418092221751278334077222015825,False,0.0,3049,1769838615,1770754514,0.0005,0.33
30,600-619,600,619,43971405158866661435516281494989774319223848631797840610981590467361652823237,False,0.0,3050,1769838616,1770754515,0.0005,0.33
31,620-639,620,639,108084577951423975382336566347676271356607274024140666970638823098020649694635,False,0.0,3047,1769838620,1770754847,0.0005,0.325
32,640-659,640,659,111411480881356091048745162942422260386881009022471984159379505872156390677540,False,0.0,3055,1769838620,1770757239,0.0005,0.15
33,660-679,660,679,64283479819150928478571544554231926055860698962947766723536365498424894648810,False,0.0,3050,1769838618,1770754517,0.0005,0.085
34,680-699,680,699,19845467422513312782507805451204454317256850920722108029740090243434496969880,False,0.0,3050,1769838617,1770754516,0.0005,0.1
35,700-719,700,719,50266503533457233612474251495223626667624178956176580906456090054351289975265,False,0.0,3045,1769838620,1770754519,0.0005,0.0215
36,720-739,720,739,22093876937932842225881298821998024960243415008731705871132593992521410152277,False,0.0,3051,1769838017,1770754514,0.0005,0.026
37,740+,740,999999,91732798315471703917360383863252109197891424935080811849619639530758847452521,False,0.0,3051,1769838018,1770754214,0.0005,0.026
