bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,99652277100668400365782882074195411634326080232950904104590778006086661441013,False,0.0,1080,1772126421,1772450720,0.0005,0.13
1,40-64,40,64,22206664730676295292616060571556182750013313724380035266650830259647324142537,True,1.0,1174,1772126119,1772478620,0.065,0.9995
2,65-89,65,89,102763939036305467485403883769746460575165589082795925054212177456315407182579,False,0.0,1181,1772126119,1772480720,0.0005,0.575
3,90-114,90,114,12508148077863828648042066932504010564755055213217690322632202173552640622648,False,0.0,1179,1772126122,1772480423,0.0005,0.325
4,115-139,115,139,97910740891841200457680541229052591859685514692644827792582477789688133125525,False,0.0,1173,1772126125,1772480427,0.0005,0.26
5,140-164,140,164,17794234048668014472625433872965302798255492052872107155183464203409083741414,False,0.0,1179,1772126122,1772480423,0.0005,0.24
6,165-189,165,189,98730273381228354283403670002760897886318060435710360422132658788787528363760,False,0.0,1179,1772126123,1772480424,0.0005,0.25
7,190-214,190,214,17380315865871906937757908691774734422192329535268873622412688045255315770185,False,0.0,1180,1772126119,1772480420,0.0005,0.24
8,215-239,215,239,106659197042939505269162212680340217127697316064982284219273413541031646802851,False,0.0,1178,1772126422,1772480423,0.0005,0.125
9,240+,240,999999,8179701573517282503163034006902498913185888734534023143402397168202436565719,False,0.0,1178,1772126119,1772479821,0.0005,0.23
