bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,45319224336535111519482018072919322436545516660881234879889561351801999945489,False,0.0,866,1773505839,1773769239,0.0005,0.198
1,40-64,40,64,47217415363215305542914792863281438229697726841745324555673487958342203177327,False,0.0,1084,1773505529,1773830129,0.0005,0.525
2,65-89,65,89,82194333416305818989277049749026626409976084808021183586785074434104609467954,False,0.0,1164,1773505529,1773853846,0.0005,0.895
3,90-114,90,114,25997380391632933606822255266729934157783319291932921840259166155913461608544,True,1.0,1186,1773505525,1773860726,0.095,0.9995
4,115-139,115,139,105231290952556400945327288460199740189681089428489490713597843841212964970149,False,0.0,1177,1773505530,1773857732,0.0005,0.19
5,140-164,140,164,15576622202854355149106308130310111842094668443770377443719631795842321017657,False,0.0,1172,1773505534,1773860735,0.0005,0.115
6,165-189,165,189,72029906104160720938805700642096124538793219359377187935400570375764238836373,False,0.0,1184,1773505531,1773860732,0.0005,0.11
7,190-214,190,214,74018252666931178820652234475956380233102127083764104163673115159680710698865,False,0.0,1167,1773506133,1773860736,0.0005,0.03
8,215-239,215,239,46918919453431372096338967709526470428304431876719173200248882507926424321035,False,0.0,1184,1773506121,1773860726,0.0005,0.015
9,240+,240,999999,105286618621328519086447837776295050496220364608804354250891350329644199392046,False,0.0,1182,1773505833,1773860733,0.0005,0.025
