bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,108619298554120995883535263814221861061158313665899281663942045363633699851452,False,0.0,10556,1769232922,1772431235,0.0005,0.0465
1,20-39,20,39,66945421028763319767092186847246742662956465174813853252492321785553882116227,False,0.0,11509,1769232911,1772691333,0.0005,0.0305
2,40-59,40,59,96097813039369170012359452093144853417007493596044406640554989765392681203783,False,0.0,11505,1769233514,1772691338,0.0005,0.49
3,60-79,60,79,49846003246123559199874264242385458693754783658133467682617124110079965431658,False,0.0,11493,1769233515,1772691340,0.0005,0.49
4,80-99,80,99,25825013045978350649551668522203817000990791635533935750622058434379660985006,False,0.0,11401,1769233517,1772691342,0.0005,0.49
5,100-119,100,119,49279672695995256942255954626426856912672003184632424000397330305322733722393,False,0.0,11612,1769233513,1772723122,0.0005,0.49
6,120-139,120,139,12417664409360880125328462741884971414340107104162308073114342397781806679287,False,0.0,11649,1769233516,1772747436,0.0005,0.49
7,140-159,140,159,13716426059149668169555588702074850292192005247588863088910844664543240768588,False,0.0,11737,1769233518,1772804431,0.0005,0.49
8,160-179,160,179,59543226638869023501352249084649462104917098718668759796076355488938800631193,False,0.0,11947,1769233512,1772823921,0.0005,0.49
9,180-199,180,199,111640832096580301159210695431163212180602028169926106955727382106966144761955,False,0.0,12247,1769233511,1772913623,0.0005,0.49
10,200-219,200,219,88231371207478285679233384101960788163381844256484895065663278229514038357446,False,0.0,12139,1769233517,1772913636,0.0005,0.49
11,220-239,220,239,56883158463307804756409847089737682141892044466006108518036125593875920412690,False,0.0,12245,1769233513,1772913628,0.0005,0.49
12,240-259,240,259,79022014882926627670738052569581030795641872812148375346448647111586535956347,False,0.0,12488,1769233516,1772995823,0.0005,0.49
13,260-279,260,279,102231973372249300284106668395981976550325281878806491699281491337621195067601,False,0.0,12453,1769233516,1772995824,0.0005,0.49
14,280-299,280,299,55706131541030121490700336954169227957104699964771901170947091023474872752284,False,0.0,12629,1769233511,1773028517,0.0005,0.49
15,300-319,300,319,42156652609829260618628530408548491026126814346017144288684595244962243157550,False,0.0,12488,1769233518,1773039325,0.0005,0.49
16,320-339,320,339,98663605263350202934109848084977412078199452914948727289697032823893221095949,False,0.0,12508,1769233518,1773044724,0.0005,0.49
17,340-359,340,359,38567428420639167659166693701535760719094914446179271656978983639819689032083,False,0.0,13109,1769233512,1773172525,0.0005,0.49
18,360-379,360,379,24148714355440374936674550662970685353228512859245728738392736779342840329974,False,0.0,13109,1769233512,1773172524,0.0005,0.49
19,380-399,380,399,101452126565394663805532946270196893165703971323782507196421526295043419075159,False,0.0,12942,1769233518,1773172532,0.0005,0.49
20,400-419,400,419,84238753584977086086006722015842570571663720045772511645452511159900541356092,False,0.0,13111,1769233513,1773173125,0.0005,0.52
21,420-439,420,439,112092921758700957438043051118751600311226204288395643632540793349892517943161,False,0.0,13232,1769233510,1773209121,0.0005,0.52
