bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,626379607647046846395026693000168391830216386468193165450127122382599876584,False,0.0,898,1774714832,1774991746,0.0005,0.198
1,40-64,40,64,12044023990285488866608262390258150437797334908828687072723613999830696150215,False,0.0,972,1774714836,1775031945,0.0005,0.565
2,65-89,65,89,93695503036737578316653846181643375701611082011546841736552562720467313140636,False,0.0,1022,1774714839,1775069457,0.0005,0.9935
3,90-114,90,114,68954985369474615946408611642887706276536913737066783634366472492731851523742,True,1.0,1015,1774714839,1775075156,0.0065,0.8295
4,115-139,115,139,2991123790458654444023954954971719369562376730771274454361092529038783624212,False,0.0,1008,1774714839,1775067009,0.0005,0.16
5,140-164,140,164,65936701292239574372681253025615648790637341412043680219249787112395085961582,False,0.0,1196,1774714831,1775079642,0.0005,0.12
6,165-189,165,189,106250098818886481063926756026247650034731789368650567119751932203977099572740,False,0.0,1088,1774714837,1775075750,0.0005,0.158
7,190-214,190,214,26803009446742978813854902242897493235482609347123771722978150615316390889002,False,0.0,1018,1774714839,1775075156,0.0005,0.344
8,215-239,215,239,43893281924943530893387812311871936240268312214844700211175504111128524399448,False,0.0,995,1774714840,1775075158,0.0005,0.0105
9,240+,240,999999,107741017544370156032718376912229744318103429529091874480461657611657663545466,False,0.0,1121,1774714835,1775071545,0.0005,0.033
