bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,40832494934497838289169329580034906841944334834977703826844712426279600173650,False,0.0,813,1775751341,1776004841,0.0005,0.4995
1,40-64,40,64,33374163315388388788110919459227431073970933558916928483365641564965487999349,False,0.0,839,1775751346,1776025242,0.0005,0.405
2,65-89,65,89,34605955627937599202713018842056685951674101337343549491024597053857992262261,False,0.0,869,1775751345,1776033954,0.0005,0.68
3,90-114,90,114,2589827390126471473472966839318724074986962059720286523528411185484282728850,False,0.0,972,1775751343,1776056447,0.0005,0.64
4,115-139,115,139,30217230881681697261481823603818520394995867855758503551828310605427465607235,True,1.0,1071,1775751347,1776107445,0.0055,0.9995
5,140-164,140,164,113107807514794776276099283835084335969525339710380131090527007554287275239747,False,0.0,1021,1775751348,1776107446,0.0005,0.6845
6,165-189,165,189,29802120362155102431267061784729888735710668431438309901282604290748609733508,False,0.0,1149,1775751342,1776108039,0.0005,0.1955
7,190-214,190,214,79221397687937411216981687838634313635799417573513213153169939237809245782460,False,0.0,1168,1775751339,1776108037,0.0005,0.499
8,215-239,215,239,48872479294943217474801569675287805840016476434685461191572960592553351055981,False,0.0,910,1775751354,1776108048,0.0005,0.02
9,240+,240,999999,4567026694899351762516069112995039218594913423429100544274691941481633573524,False,0.0,866,1775752554,1776108050,0.0005,0.0095
