bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,104329201383170284213391212690700011054884681667351128981039717282478255123150,False,0.0,1114,1776746748,1777088104,0.0005,0.477
1,20-39,20,39,52358610296601486171369703693645521383373562796621469308278427449981398113069,False,0.0,1237,1776746749,1777127405,0.0005,0.0695
2,40-59,40,59,49956837330334527725147002745206512682065673447379574950055371785908492699740,False,0.0,1323,1776746753,1777152604,0.0005,0.2745
3,60-79,60,79,11828881361262724325798232974074619231204162992120577926398128229772044286504,False,0.0,1450,1776746758,1777193404,0.0005,0.05
4,80-99,80,99,44521319974098179520086141630286122431151756618247477767323081089241758273918,False,0.0,1879,1776746751,1777319704,0.0005,0.499
5,100-119,100,119,112329309611593955368026619112276621186238563190215799403258195795928961308905,False,0.0,1909,1776746750,1777329303,0.0005,0.299
6,120-139,120,139,103814144933784561144303566646190570592030965187260889918356813200508684925085,False,0.0,2076,1776746746,1777377003,0.0005,0.4995
7,140-159,140,159,780119919864943280456889996924660516314417026794085840921077404976214066828,False,0.0,2793,1776746752,1777593304,0.0005,0.4245
8,160-179,160,179,28422911629146569708232080034637871998461845317817481483990994635093034860321,False,0.0,2862,1776746751,1777614619,0.0005,0.445
9,180-199,180,199,58451805222967000500347402883594390746225292637162246081782165844737451490078,True,1.0,3026,1776746749,1777667404,0.0195,0.9995
10,200-219,200,219,16072462535797228952462848707486943208677352185006383192861302146101560011325,False,0.0,3033,1776746744,1777666504,0.0005,0.415
11,220-239,220,239,97661106526187431070972992886324728202244923306210947520558133579953264762641,False,0.0,3034,1776746744,1777667403,0.0005,0.485
12,240-259,240,259,87587137981253119567426750144240418056533204868397031309307726534481334939181,False,0.0,3026,1776746749,1777667404,0.0005,0.34
13,260-279,260,279,73922931060161152623931881545361319159574976458142397504109818853192144468390,False,0.0,3029,1776746751,1777667405,0.0005,0.26
14,280-299,280,299,41865951844810336537715943814770637988707129507648844928801371195517021968494,False,0.0,3029,1776746752,1777667405,0.0005,0.17
15,300-319,300,319,90369918232819966457134649466862093472800044778141866363651335786392501272651,False,0.0,3026,1776747058,1777667404,0.0005,0.49
16,320-339,320,339,16904935992776602465596099250529554925641571493710636132960801724921774820455,False,0.0,3035,1776747054,1777667403,0.0005,0.4245
17,340-359,340,359,66943589115412983429253813533816343917547528333090834398652098389159891624877,False,0.0,3028,1776747058,1777667404,0.0005,0.07
18,360-379,360,379,98715598659609777166886198046487631733730773615952154024839946792897085251330,False,0.0,3028,1776747351,1777667405,0.0005,0.3915
19,380-399,380,399,108999922037355408421279010131895904990651229333097917141110176025168489862576,False,0.0,3022,1776747301,1777667406,0.0005,0.4245
20,400-419,400,419,99691042511928227748528425940756879362770630185678931179898763824284797713160,False,0.0,3018,1776747302,1777667406,0.0005,0.4675
21,420-439,420,439,16083002821047928790090385010309596197032003726653490134985378397420524230161,False,0.0,3033,1776747056,1777667404,0.0005,0.271
22,440-459,440,459,100971996185789984702013317196790648488409944412349475383194106881415263752890,False,0.0,3029,1776747352,1777667405,0.0005,0.2995
23,460-479,460,479,28655680010362282602523565372132296461497010560804845578689853025545458335976,False,0.0,3024,1776747350,1777667404,0.0005,0.2995
24,480-499,480,499,51967054289831621435765869332041417945673660985005386774316110136300333780542,False,0.0,3023,1776747354,1777667405,0.0005,0.399
25,500-519,500,519,77900453660973466437041673919867292949489315367257232588171139991668499777694,False,0.0,3033,1776747052,1777667403,0.0005,0.4245
26,520-539,520,539,66952248886931044284810403730316760577806292942747948674756114934781805621672,False,0.0,3030,1776747352,1777667405,0.0005,0.4245
27,540-559,540,559,52049558314627822289300373862144128473485788472756032380194868097458227983387,False,0.0,3030,1776747352,1777667707,0.0005,0.1
28,560-579,560,579,45765460783742795333189581161813938483393850564933746779933469317903137608708,False,0.0,3034,1776747055,1777667705,0.0005,0.4245
29,580+,580,999999,103764413786112637359638624838987197427551903326360040031622360058759132146405,False,0.0,3020,1776747300,1777667406,0.0005,0.239
