bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,79539630581733869677364278075904901751672489758501446829047189737184183389300,False,0.0,11486,1771910715,1775368535,0.0005,0.5
1,20-39,20,39,66251427117820730328348516915002643165701087608548320678174884990042459843219,False,0.0,11429,1771910725,1775368539,0.0005,0.5
2,40-59,40,59,101612456580701511322934326425179976873853334258978326219047500981103000374979,False,0.0,11234,1771910740,1775368544,0.0005,0.5
3,60-79,60,79,110239916426856403307881316612804004045543412139217228379317331530195511685515,False,0.0,11082,1771910720,1775368549,0.0005,0.5
4,80-99,80,99,68154666941714780028513580007937596036917979096593829213360343272891112449516,False,0.0,11350,1771910725,1775368541,0.0005,0.5
5,100-119,100,119,67078825723002175600427618514649942015216513766251046523408994525396501522160,False,0.0,11368,1771910734,1775438451,0.0005,0.5
6,120-139,120,139,56428505496940612957058033160961609021450473691339206475836015949562721106931,False,0.0,11446,1771910732,1775414143,0.0005,0.5
7,140-159,140,159,105905264680319840987372505183269013989817768564715314134168505736707966112724,False,0.0,11379,1771910740,1775414143,0.0005,0.5
8,160-179,160,179,104842582473152800038471156455924174537555755261215631221726460988929292486220,False,0.0,11732,1771910741,1775466650,0.0005,0.5
9,180-199,180,199,8703440894516879056229489201861677663013555494531925632643869119535368399455,False,0.0,11624,1771910743,1775467845,0.0005,0.5
10,200-219,200,219,43682486210507397544552807487751962022398551740518887587562109687544636669852,False,0.0,11422,1771910727,1775511350,0.0005,0.5
11,220-239,220,239,85346869439225943774303569433940034343140280017504512311969230752561986844058,False,0.0,12071,1771910724,1775640951,0.0005,0.5
12,240-259,240,259,65703754354959050660660971113135038415088083686307144785113948875888269622685,False,0.0,12077,1771910721,1775640951,0.0005,0.5
13,260-279,260,279,79646925396065365343600272406511922325814718008329201303755123356395748513704,False,0.0,11641,1771910746,1775663455,0.0005,0.5
14,280-299,280,299,54229439751144640336649835246436129963274772807695896446990463285932013089144,False,0.0,12475,1771910736,1775723141,0.0005,0.5
15,300-319,300,319,65058925470287301261009825745183285050870963296838361707225232559491989019102,False,0.0,12743,1771910722,1775775648,0.0005,0.5
16,320-339,320,339,37557521479726351855601401374200143181710453131941757229503851898543649717798,False,0.0,12586,1771910716,1775775655,0.0005,0.52
17,340-359,340,359,41340381477348915692651382265012441304798890398139693873458905346758323526313,False,0.0,12938,1771910725,1775949044,0.0005,0.52
18,360-379,360,379,111357604938718559215967223654982408315958306604291932690941817716500936598397,False,0.0,12526,1771910727,1775955348,0.0005,0.52
19,380-399,380,399,11554147510012636071921845976451523667588938978435583495287093372964297801231,False,0.0,12948,1771910722,1775949044,0.0005,0.5
20,400-419,400,419,111323544422336071290345234700785979769214524804954565161786146235773642463559,False,0.0,12467,1771910745,1776003655,0.0005,0.5
21,420-439,420,439,47199990988228921385186272990725672595876594687894113550117461732569029321343,False,0.0,13224,1771910725,1776048643,0.0005,0.5
22,440-459,440,459,61844997106938678284355354426655671556594774294943156322291188612598056863355,False,0.0,12828,1771910745,1776048646,0.0005,0.5
