bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,114338491037600603552186377092291409913227518550796898229605893813092621964360,True,1.0,1183,1777738805,1778093406,0.032,0.9995
1,40-64,40,64,29540216062949960487122992078056323295088430924633986045634298129252313729633,False,0.0,1218,1777738804,1778104503,0.0005,0.805
2,65-89,65,89,70667281831444531393577490931245743990141193839628081392738527299395355114496,False,0.0,1217,1777738804,1778104204,0.0005,0.325
3,90-114,90,114,28273654130838248566156893699158601058505408487877925016080387773167077565605,False,0.0,1218,1777738805,1778104505,0.0005,0.48
4,115-139,115,139,43710607399427920514188860565659788128601406261320862987368621563980507201959,False,0.0,1217,1777738806,1778104205,0.0005,0.4335
5,140-164,140,164,2630671146500308131207675309006911646559932498146069720430915461278247216561,False,0.0,1217,1777738805,1778104205,0.0005,0.055
6,165-189,165,189,50692380689999935106551459339876781660210660755916697855968394880604656873401,False,0.0,1217,1777738804,1778104204,0.0005,0.03
7,190-214,190,214,27636330302270728089277340093512411265389290919827602452490095362598057478272,False,0.0,1217,1777738805,1778104205,0.0005,0.05
8,215-239,215,239,60401642150257887194326176995937752884058025037845926817221034988829779060177,False,0.0,1217,1777738804,1778104204,0.0005,0.4335
9,240+,240,999999,110258471575967812132818098413859576651190212501926974281288685775782636802259,False,0.0,1217,1777738805,1778104205,0.0005,0.009
