bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,8684413041801267176990156804701970777374904076048387718111905102101261094556,False,0.0,11219,1774326337,1777835104,0.0005,0.49
1,20-39,20,39,104406276522975116227592383432019196349108617641780787421666289346077214656816,False,0.0,11147,1774326335,1777835104,0.0005,0.49
2,40-59,40,59,72892038628192206560716301063234067021271218965455401445999351439869993247088,False,0.0,10450,1774326340,1777843505,0.0005,0.49
3,60-79,60,79,79694841616535863837857102830378768967996337556139020213449867151759073451128,False,0.0,10474,1774326326,1777868406,0.0005,0.49
4,80-99,80,99,113057412669663513628635023946926553406778249839809351602389833324512718520547,False,0.0,11048,1774326331,1777992306,0.0005,0.49
5,100-119,100,119,105654120982651643530025812282540948691635728372855074630741294034027419551285,False,0.0,11240,1774326340,1778076009,0.0005,0.49
6,120-139,120,139,21856278388209834659669873048594899496189341036520892753100545230342943329226,False,0.0,11318,1774326338,1778133005,0.0005,0.49
7,140-159,140,159,54917684379402108239551598786604931268123951934087531922738816458090492823643,False,0.0,12696,1774326330,1778205604,0.0005,0.49
8,160-179,160,179,114841464560603762241285151069220630704859020881069507324817652250477761736653,False,0.0,14838,1774326324,1778894721,0.0005,0.49
9,180-199,180,199,67956203319555343582150038964658175095264416790956273605959339287208264181445,False,0.0,13628,1774326340,1778894721,0.0005,0.49
10,200-219,200,219,28469497268510083542957328458564835531589689421491850610635047335930062869596,False,0.0,13726,1774326341,1778932506,0.0005,0.498
11,220-239,220,239,108469580840577319621142160337805543847381852124936638708800065143923006870070,False,0.0,14155,1774326332,1778932507,0.0005,0.49
12,240-259,240,259,108695398439577897888412293569178269578852107877573174523003708097224311217965,False,0.0,14185,1774326338,1778943004,0.0005,0.49
13,260-279,260,279,111968928225540566808668595429798265643105638352966465199732537205787991285354,False,0.0,13125,1774326340,1778792109,0.0005,0.49
14,280-299,280,299,60595119708041960758451682420559695385259320686551340424352873695677149902413,False,0.0,13385,1774326333,1778816406,0.0005,0.49
15,300-319,300,319,108804191549237905261121830701219302062059604091587818398997454665499843037856,False,0.0,14759,1774326324,1778872206,0.0005,0.49
16,320-339,320,339,74858721489007213512208146488670631386558193247247644265834952333873526087700,False,0.0,13634,1774326340,1778943616,0.0005,0.49
17,340-359,340,359,85151254258709010009085958392588107366999518510052832510568339550983501415525,False,0.0,16234,1774326337,1779387306,0.0005,0.49
18,360-379,360,379,62197569283574345167462497504654779078159233227376823143383713101780945500075,False,0.0,15835,1774326324,1779387308,0.0005,0.49
19,380-399,380,399,114909315876562252074142767155168840445692530674184831211439050620618696142433,False,0.0,14521,1774326324,1779083103,0.0005,0.49
20,400-419,400,419,108824354176325705436152633261540787113788962857326046168109327808199493296582,False,0.0,14575,1774326325,1779099605,0.0005,0.49
21,420-439,420,439,18685645291251225628709800140214660878975320255969636090596599506472294547350,False,0.0,14486,1774326338,1779132004,0.0005,0.49
22,440-459,440,459,88472554688690822658776653589486893188278643820529024952333499700207129868219,False,0.0,15729,1774326324,1779218404,0.0005,0.49
23,460-479,460,479,55839853702070403559001128892053594912537036300773251500952702616779524078957,False,0.0,15957,1774326327,1779387307,0.0005,0.49
24,480-499,480,499,33681845420451757806185531925154855788742730736166650208201179009189865359913,False,0.0,16001,1774326325,1779387307,0.0005,0.49
25,500-519,500,519,72316484518928944853396793331986613534213282621553769174028692611453196005127,False,0.0,16463,1774326325,1779387306,0.0005,0.49
26,520-539,520,539,48517026182080849540952363815705811023016143035386396205524303547607410317686,False,0.0,16477,1774326324,1779387307,0.0005,0.49
27,540-559,540,559,39008151096031463737091096922627407460523118872433623162084926548538596461770,False,0.0,15956,1774326339,1779387308,0.0005,0.49
28,560-579,560,579,88270526808474636354957521503808938250893108489926805616130829689303560915474,False,0.0,16030,1774326333,1779457518,0.0005,0.49
29,580-599,580,599,5503026432436035703031605399159622696652983706097121019032674809543450173379,False,0.0,16878,1774326340,1779498604,0.0005,0.49
30,600-619,600,619,55688916387485142411950199862245249428126085713169780839007085957506637419017,False,0.0,16395,1774326338,1779498604,0.0005,0.49
31,620-639,620,639,15270157203173197051335186953302633292066985208981375874716232048265939823948,False,0.0,15665,1774326337,1779528318,0.0005,0.49
32,640-659,640,659,20523519237462501973086478091226301410297618213946780203399042921086459706451,False,0.0,16470,1774326326,1779593704,0.0005,0.49
33,660-679,660,679,41760130583542272711032932997798435898429647470829894757938296054124952587429,False,0.0,17289,1774326337,1779656104,0.0005,0.49
34,680-699,680,699,102220814422612834981323235888411565427142590666609033732799381623250423269944,False,0.0,16501,1774326339,1779741904,0.0005,0.49
35,700-719,700,719,66575300676531039846947481239766779529584014052082514675660375900908998526008,False,0.0,16784,1774326625,1779794720,0.0005,0.405
36,720-739,720,739,103950921847950577080572864010435713638732907977969343498949234879736888761449,False,0.0,17249,1774326622,1779903604,0.0005,0.405
37,740-759,740,759,92959928975582011800622447259803001016930211049113997950289092677861839212799,False,0.0,17148,1774326629,1779978610,0.0005,0.405
38,760-779,760,779,36343147690013144789141740935064686343769053505898556803133338001323498395733,False,0.0,17934,1774326629,1780064404,0.0005,0.405
39,780-799,780,799,32520006649024993599956188691472160581347566917549970370942377296371612895890,False,0.0,18810,1774326629,1780120205,0.0005,0.405
40,800-839,800,839,34122710619106599081591458169071862439426266061588535979272056701562821738375,True,1.0,19549,1774326621,1780316104,0.0015,0.9995
41,840-879,840,879,35049424375399244015816944875059246119787276529930939044538739874287825363015,False,0.0,18251,1774326630,1780316104,0.0005,0.8705
42,880-919,880,919,92495399012706591645362578629929708279933407251284745623648697536161088698259,False,0.0,19640,1774326630,1780319404,0.0005,0.405
43,920-959,920,959,45980761657601585711054510768926721078079434242136299109125783041183386897628,False,0.0,18248,1774326631,1780319404,0.0005,0.405
44,960-999,960,999,63681751092446163598001330903997002123300935652171880244822955186421982681858,False,0.0,18381,1774326626,1780319404,0.0005,0.405
45,1000-1039,1000,1039,66171518737097454976605420899090372445644550223048949524239965331578509041725,False,0.0,19455,1774326625,1780319703,0.0005,0.405
46,1040-1079,1040,1079,92236973255000021565184038525847906840141072024529120712303346207716577230629,False,0.0,19230,1774326627,1780319703,0.0005,0.405
47,1080-1119,1080,1119,49929382550901590495282036334475837397964603730592793971401778320509284573949,False,0.0,18651,1774326628,1780319704,0.0005,0.41
48,1120-1159,1120,1159,89239640823784341707278342281777042019382373788507731932750393819292177430626,False,0.0,19003,1774326632,1780318504,0.0005,0.41
49,1160-1199,1160,1199,17322308443602284408113188318902633040696233442624018720912458620544716724506,False,0.0,19725,1774326624,1780319703,0.0005,0.41
50,1200-1239,1200,1239,12670655695192615802074557176689756531016284819874710557859672387896345201681,False,0.0,18405,1774326631,1780319703,0.0005,0.41
51,1240-1279,1240,1279,91200828535459683935504834408953717263600747115692896892918632829982316012216,False,0.0,18641,1774326620,1780319703,0.0005,0.41
52,1280-1319,1280,1319,77477648016348155699023205783318821939587941714876185286694267897661805945086,False,0.0,19557,1774326623,1780319703,0.0005,0.41
53,1320-1359,1320,1359,97976655334763920354574961823821815589283970970400515660299427675926184563178,False,0.0,18487,1774326633,1780319704,0.0005,0.41
54,1360-1399,1360,1399,10931128673367655355124866081402835157051780892260653056103465778303049948448,False,0.0,19586,1774326633,1780319703,0.0005,0.41
55,1400-1439,1400,1439,48857682257810916893692333337184341394774684501840399435908222829619414865187,False,0.0,19043,1774326623,1780319703,0.0005,0.41
56,1440-1479,1440,1479,72786739168427553065528185378145635344473186014216798871535284414810562100446,False,0.0,19056,1774326631,1780319704,0.0005,0.41
57,1480-1519,1480,1519,32821769566994585918769575048900950277567351562230343011982077362749473179755,False,0.0,19480,1774326624,1780319703,0.0005,0.41
58,1520-1559,1520,1559,3829811725692079531332386149176457351679533121695574891871917228075139963020,False,0.0,19381,1774326621,1780319703,0.0005,0.405
59,1560-1599,1560,1599,25653581297117385689723589577780268763790182562863310080184787950518251266822,False,0.0,19717,1774326624,1780319703,0.0005,0.405
60,1600-1679,1600,1679,72789623227702614791774522849763633000967864997352827103931552954011509113497,False,0.0,19210,1774326628,1780319404,0.0005,0.405
61,1680-1759,1680,1759,55360678611988341215783679477544808249890799086893901409864524022046933905560,False,0.0,18885,1774326622,1780319404,0.0005,0.405
62,1760-1839,1760,1839,14581459126871934044443860787925261367691131658182832229846111094307440506323,False,0.0,18430,1774326629,1780319404,0.0005,0.405
63,1840-1919,1840,1919,114504916356996499904498682770017702620222348041996513059974914880257760548217,False,0.0,18268,1774326630,1780319404,0.0005,0.405
64,1920-1999,1920,1999,41556062183862218522662483791265806591172183558121167623412170779141864834052,False,0.0,18747,1774326626,1780319404,0.0005,0.405
65,2000+,2000,999999,67364828371746738517326291415110668203177580672323796488684920585812932685040,False,0.0,18907,1774326621,1780319404,0.0005,0.405
