bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,4786399037553267079452470370916303994259656682578367053182266990297646837918,False,0.0,2831,1779510305,1780361703,0.0005,0.265
1,20-39,20,39,11290060368841586347057437532795599912192906551097456111901210600450149944019,False,0.0,2831,1779510304,1780361703,0.0005,0.24
2,40-59,40,59,24347095259141435105483050356232916133422149478628038054319629107786689643800,False,0.0,2832,1779510005,1780361703,0.0005,0.0815
3,60-79,60,79,8286108315416595982633941752093889715401199052630376281307931196772349564529,False,0.0,2831,1779510304,1780361703,0.0005,0.255
4,80-99,80,99,50572580090884813433454972021541679539958930309116930384878156221556393166652,False,0.0,2831,1779510305,1780361703,0.0005,0.235
5,100-119,100,119,37600325131504385658396813238872403225551034729709019350694449859122074639393,False,0.0,2832,1779510304,1780362005,0.0005,0.245
6,120-139,120,139,104430943605767462037841789808624870115686853373548366925787665934089988697491,False,0.0,2895,1779510304,1780380904,0.0005,0.3655
7,140-159,140,159,27610830068834705697171985837138679740429542450579852507895520387173803633350,False,0.0,3029,1779510304,1780421103,0.0005,0.9435
8,160-179,160,179,59998099083680048913379076748093500847171182843997293487156217144038635195078,True,1.0,3062,1779510304,1780431004,0.0255,0.9995
9,180-199,180,199,74991938190760171838977513133860166544688617683623642397114472952725821925277,False,0.0,3063,1779510304,1780431317,0.0005,0.343
10,200-219,200,219,93220631681313457344010902593057390502406393979327905249480656589626014217180,False,0.0,3062,1779510305,1780431004,0.0005,0.26
11,220-239,220,239,56566848441839335228724554299556415255409875534104476989683912823814821763370,False,0.0,3061,1779510605,1780431004,0.0005,0.24
12,240-259,240,259,56700219607551371965506324353536520801715980172698724565719201127867310847126,False,0.0,3063,1779510305,1780431317,0.0005,0.245
13,260-279,260,279,56937335075909738054556241084132814757080480509287086571626249453817261790938,False,0.0,3062,1779510304,1780431004,0.0005,0.245
14,280-299,280,299,6662587406547258152825912657156054898484866308402628353182602888788395699311,False,0.0,3062,1779510605,1780431316,0.0005,0.245
15,300-319,300,319,23483170351284623839436368278688648264351554913940552396766368448053025808947,False,0.0,3063,1779510304,1780431317,0.0005,0.255
16,320-339,320,339,54224539030954930313665653811742152085445354524412767873238536264756104329130,False,0.0,3062,1779510606,1780431317,0.0005,0.23
17,340-359,340,359,73161941766701008292766077660615913018595586277775674325723898111980595436391,False,0.0,3062,1779510605,1780431316,0.0005,0.235
18,360-379,360,379,13554547544902677364850837121569693954396919173828032699593613882141143392388,False,0.0,3063,1779510304,1780431316,0.0005,0.23
19,380-399,380,399,92522420477212785145142266268642992578254600837956398961024133065340610868788,False,0.0,3061,1779510304,1780430703,0.0005,0.25
20,400-419,400,419,110080554177243111888144788189742938600193788651698351983970669937918188076849,False,0.0,3061,1779510605,1780431004,0.0005,0.245
21,420-439,420,439,54366135070393561756436011957478816644158494620659759436204391341708576534378,False,0.0,3061,1779510607,1780431004,0.0005,0.24
22,440-459,440,459,81298044968561888402204528421231740516995229338812629872675411293716589541054,False,0.0,3061,1779510606,1780431004,0.0005,0.23
23,460-479,460,479,34267248577442097936157904682975242081876352346163608091841095495673072539218,False,0.0,3061,1779510605,1780431004,0.0005,0.235
24,480-499,480,499,107022624986050034572839029967518224468946916981612799106112533089439857861312,False,0.0,3061,1779510606,1780431004,0.0005,0.22
25,500+,500,999999,80466623083931268626570932074872318365270615320482702178152258879996331811739,False,0.0,3061,1779510606,1780431004,0.0005,0.26
