bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,94678844675540591513035388728379348255371906503865244476746509708499463645314,False,0.0,1270,1780720805,1781103304,0.0005,0.05
1,20-39,20,39,14849586448279381597913592389255100589580194526823748135634100061336831792349,False,0.0,1455,1780720804,1781158503,0.0005,0.075
2,40-59,40,59,100529694936281274255632165601067098814109081431266768697138552839420329871464,False,0.0,1607,1780720805,1781204405,0.0005,0.05
3,60-79,60,79,98374596855292010437796755368724063387501463196239137518772048226641875814294,False,0.0,1767,1780721104,1781252404,0.0005,0.05
4,80-99,80,99,51425592124394788090868751888845245357731847537935344959894005205926668595071,False,0.0,1878,1780721103,1781285704,0.0005,0.04
5,100-119,100,119,92716748767217008620450449894368414949693225778992886547325498287755315296934,False,0.0,2376,1780721103,1781435104,0.0005,0.065
6,120-139,120,139,67789264281205402100553091279634121899414942733555037554313735707451050707428,False,0.0,2535,1780721104,1781482803,0.0005,0.102
7,140-159,140,159,31377173239121824567538354733371193383806068079615630045942994786658471167613,False,0.0,2757,1780721403,1781549703,0.0005,0.2675
8,160-179,160,179,115382533304938979501176184866946618744535654555524319863688707542847297983306,False,0.0,2817,1780721403,1781567704,0.0005,0.4585
9,180-199,180,199,12392739535740890653523183006207826847100239045127784914218358454009214037128,False,0.0,3018,1780720804,1781627404,0.0005,0.755
10,200-219,200,219,42235234294489895346031840949594986821676855375728016566706420203107978796222,True,1.0,3063,1780721405,1781641805,0.065,0.9995
11,220-239,220,239,84629950350446575380670691232991374597769744347374453272752280577751763169321,False,0.0,3059,1780721404,1781640304,0.0005,0.295
12,240-259,240,259,66580345178781204567497410641988006681852201276179290504469064245237785223810,False,0.0,3034,1780721405,1781633106,0.0005,0.25
13,260-279,260,279,27801753105601936672726502845683346626549662473123773324594095969451261404259,False,0.0,3034,1780721405,1781633106,0.0005,0.245
14,280-299,280,299,49369008207155012719981675891644739978829774184626799746539866765972192596483,False,0.0,3034,1780721404,1781633106,0.0005,0.255
15,300-319,300,319,32000778687875661180283724575439686279131249908622473781739067862439335023928,False,0.0,3034,1780721405,1781633106,0.0005,0.225
16,320-339,320,339,60455860637972061932984708351432546044248076687334005548989239998546301869841,False,0.0,3034,1780721405,1781633106,0.0005,0.24
17,340-359,340,359,61178359698399480188348149794513748687749954376319934117720138679440861217198,False,0.0,3035,1780721404,1781633105,0.0005,0.235
18,360-379,360,379,84216405264992365392197911323363390380934579429426740125383461218646199707159,False,0.0,3035,1780721403,1781633105,0.0005,0.23
19,380-399,380,399,50048028779369613278489992680426663290811477727373868902538552269026903754150,False,0.0,3035,1780721403,1781633105,0.0005,0.245
20,400-419,400,419,35137997510723865105777772368356705536201796633655610638909181376941954081342,False,0.0,3034,1780721405,1781633106,0.0005,0.225
21,420-439,420,439,17083185882078691666019818266329818863537885103278022019756774039704896734207,False,0.0,3034,1780721404,1781633106,0.0005,0.22
22,440-459,440,459,36707797599637836199395445848982315594210528428842659698789224110233507962565,False,0.0,3035,1780721404,1781633105,0.0005,0.22
23,460-479,460,479,93563233140845569984253795594719839998472588047292227794407095113901636434749,False,0.0,3035,1780721404,1781633105,0.0005,0.215
24,480-499,480,499,32013236551251678562765420473612085046782893186169701981633823700135250158782,False,0.0,3035,1780721403,1781633105,0.0005,0.045
25,500+,500,999999,11008445336966190080458148374845775071648571254498877289363860278868523463651,False,0.0,3035,1780721403,1781633105,0.0005,0.045
