bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<400,0,399,79974984215677169257833372735549539627311191646379030359888209504789360070844,False,0.0,6146,1781043318,1782894603,0.0005,0.265
1,400-419,400,419,43914140603801764190378984725146072066138701453185930550277346160394188311856,False,0.0,6146,1781043319,1782894604,0.0005,0.27
2,420-439,420,439,42365282595994533489740048752027122894438401772027901971310898749333257465021,False,0.0,6146,1781043319,1782894603,0.0005,0.25
3,440-459,440,459,106028193216214156523332060868312162783488784531316706413669902192013858536296,False,0.0,6145,1781043319,1782894605,0.0005,0.295
4,460-479,460,479,56091086746348512078568421038547281149432843733314045501707239223225010830211,False,0.0,6146,1781043319,1782894906,0.0005,0.255
5,480-499,480,499,73373485925895162761294930336406759545707882176736930910694200916849200554731,False,0.0,6147,1781043318,1782894905,0.0005,0.275
6,500-519,500,519,92953134095646784819566294540789756224848144080327016100855675113606148511260,False,0.0,6146,1781043319,1782894905,0.0005,0.265
7,520-539,520,539,62413489626685375535193005990567114202786162097580892849882146924085809748842,False,0.0,6146,1781043319,1782894906,0.0005,0.28
8,540-559,540,559,94427431404748604538960844705674045551399858292034762271058320677119546628308,False,0.0,6146,1781043319,1782894905,0.0005,0.255
9,560-579,560,579,110221669097957561588754545368781502028938315459768861762628472596355921756561,False,0.0,6146,1781043319,1782894905,0.0005,0.27
10,580-599,580,599,73228058179814617629256271753824464185688888483440816795415307536205735056704,False,0.0,6147,1781043319,1782895205,0.0005,0.275
11,600-639,600,639,35968217204657614399637366175321292184302694068075337253774835534870527341673,False,0.0,6148,1781043319,1782895204,0.0005,0.28
12,640-679,640,679,60546362460423754788768900774687731440575659292257412114524536631832911488960,False,0.0,6148,1781043319,1782895204,0.0005,0.27
13,680-719,680,719,15733420111613543667372703042534472039986869804583725175357256340439350936876,False,0.0,6147,1781043319,1782895205,0.0005,0.25
14,720-759,720,759,92706818572685759347317294370415610462550381238379381132114621021677577091881,False,0.0,6148,1781043319,1782895204,0.0005,0.27
15,760-799,760,799,13898371969809318946766993131152699623356213372224398821380423344496302975962,False,0.0,6148,1781043603,1782895504,0.0005,0.275
16,800-839,800,839,90631845673667944914497022095514440312916905409868618931000386330713868051893,False,0.0,6147,1781043604,1782895204,0.0005,0.275
17,840-879,840,879,115696481309890466894726615294993933762776509342505926407388339726063311975839,False,0.0,6147,1781043604,1782895204,0.0005,0.285
18,880-919,880,919,68833557057876356632802746952832727671497559759868783322503586917411656505454,False,0.0,6148,1781043604,1782895504,0.0005,0.395
19,920-959,920,959,16881661087444732998689371915057993211435852667074157674453646917447505677358,False,0.0,6149,1781043318,1782895504,0.0005,0.725
20,960-999,960,999,93905306673577147496060071967727160335952277871593400555443572656011248810856,True,1.0,6156,1781043604,1782898205,0.027,0.9995
21,1000-1039,1000,1039,82319875475750038521572126331547228170628090760261062798618116225533004428037,False,0.0,6148,1781043604,1782895805,0.0005,0.26
22,1040-1079,1040,1079,45316498694592059229367631732820710941604951515177445705617096053676427051396,False,0.0,6147,1781043604,1782895505,0.0005,0.27
23,1080-1119,1080,1119,46431254564120993918581553584662038142606104673604683386274889052188777638782,False,0.0,6148,1781043603,1782895504,0.0005,0.26
24,1120-1159,1120,1159,97461353863830165772793795425345734057285344252272306120928532572361822253801,False,0.0,6147,1781043604,1782895204,0.0005,0.26
25,1160-1199,1160,1199,15562101992975292057837302677600835384064755894288742335019316067587117281385,False,0.0,6147,1781043603,1782895204,0.0005,0.26
26,1200-1239,1200,1239,80803055724695400669347920630837127882299104691582881557034784152278574530450,False,0.0,6146,1781043604,1782895204,0.0005,0.25
27,1240-1279,1240,1279,92796930192896204627323419177319348967143259390365004176899341672540985142837,False,0.0,6146,1781043604,1782895205,0.0005,0.26
28,1280-1319,1280,1319,80382549228253466873503597702575773536725665731355277242222531140982500699350,False,0.0,6147,1781043603,1782895204,0.0005,0.255
29,1320-1359,1320,1359,76510418227919036376841639775498371494844316439152542251532951703153248802727,False,0.0,6147,1781043603,1782895204,0.0005,0.27
30,1360-1399,1360,1399,211764100347201999896752719781596734231273076889804785857152980239465351098,False,0.0,6147,1781043604,1782895204,0.0005,0.265
31,1400+,1400,999999,12374178831681489126211750317529895258560613039202156925445661032434539950478,False,0.0,6147,1781043604,1782895204,0.0005,0.26
