bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,80603163036253972794694341435068714502128370942989054214848222802960717946134,False,0.0,897,1782576903,1782845704,0.0005,0.68
1,40-64,40,64,58505314282977307578514708334279397875072361395744740912205614325822594148731,True,1.0,1173,1782577204,1782930904,0.085,0.9995
2,65-89,65,89,510924981909219386331954959284825933969736369382627078728321201702002122110,False,0.0,1169,1782577204,1782929703,0.0005,0.805
3,90-114,90,114,107510455930489730505405843951796848161044029133879841071889407250716430653705,False,0.0,1166,1782577205,1782928812,0.0005,0.4985
4,115-139,115,139,55523752846199755640301158614616033173424012045340917401653707069365824226718,False,0.0,1167,1782576903,1782928804,0.0005,0.3395
5,140-164,140,164,82513885324677069770678353177475582718670240833174272558304278505853656005560,False,0.0,1167,1782576904,1782928809,0.0005,0.371
6,165-189,165,189,80663591726599008926944756355903576308634203752849601562749591741044943380600,False,0.0,1167,1782576903,1782928804,0.0005,0.0265
7,190-214,190,214,44206115930263705270808863242920624977528321091879430128108538835919545906117,False,0.0,1167,1782576903,1782928804,0.0005,0.026
8,215-239,215,239,89938981570970479960063530263932569756623527980195863279950443336705054046933,False,0.0,1167,1782576903,1782928804,0.0005,0.0445
9,240+,240,999999,62837729129425937347095717863534941391620675194209149509656431628783858230941,False,0.0,1167,1782576903,1782928804,0.0005,0.0265
