bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,8237800840355909669136658532152623670984968115182576361581507604297735330807,False,0.0,128,1782795605,1783252808,0.0005,0.0025
1,20-39,20,39,89813386632360901692434621532114265451848184408033272644655945074331021438883,False,0.0,146,1782795605,1783317606,0.0005,0.0155
2,40-59,40,59,40016983315574706606848218947183370142642931752030769476931227442287684077716,False,0.0,172,1782795605,1783411206,0.0005,0.4955
3,60-79,60,79,5020939575502827150645222406877496702929477982338526264526849600726458883973,False,0.0,196,1782795606,1783497605,0.0005,0.0735
4,80-99,80,99,43048452120775816249202921152795411720689989130332533899698979713838810414373,False,0.0,210,1782795604,1783548005,0.0005,0.1435
5,100-119,100,119,14578665727548727331346806713053472528802204273910740645994534964397545171929,False,0.0,221,1782795605,1783587605,0.0005,0.3545
6,120-139,120,139,84687694946323279287252321999087734874574789165203860535540025955587104584068,False,0.0,222,1782795605,1783591209,0.0005,0.4595
7,140-159,140,159,38838499236530435947496807571021825408912957849226103739106620531552499968390,False,0.0,238,1782795604,1783648804,0.0005,0.513
8,160-179,160,179,32782153356635722166198247513826551786425043365534244177116589358375749729626,False,0.0,245,1782795604,1783674016,0.0005,0.605
9,180-199,180,199,55888433071933389212533753015015185974116963650167554669973296582849485251051,True,1.0,254,1782795604,1783706403,0.0145,0.9995
10,200-219,200,219,35485468553439787735912485811241901498384573878844141387122392635358237131410,False,0.0,254,1782795606,1783706408,0.0005,0.315
11,220-239,220,239,20723299590201475550930980117011895418395344129431981105503768621463234407938,False,0.0,254,1782795605,1783706407,0.0005,0.305
12,240-259,240,259,83306467096460596675715784165329598162796431778677734094621931173078369638783,False,0.0,254,1782795605,1783706405,0.0005,0.3
13,260-279,260,279,51913789768679867049601678883152062120700711218147640196266838272349750289256,False,0.0,254,1782795606,1783706408,0.0005,0.29
14,280-299,280,299,106490235096663069169095265421511078623459783689930937866786954416389788478008,False,0.0,254,1782795604,1783706403,0.0005,0.265
15,300-319,300,319,91746600184852684053808730468083616456861737207120903290821076692116107495711,False,0.0,254,1782795605,1783706405,0.0005,0.498
16,320-339,320,339,49016960115796202511659151402279489120900611147695258649559582079363337480045,False,0.0,254,1782795606,1783706408,0.0005,0.27
17,340-359,340,359,3323332867686090879598474641547305681677984399866442201665944298644532912191,False,0.0,254,1782795605,1783706405,0.0005,0.0155
18,360-379,360,379,48165261611925542019628422889512901776487160276702305334027374998282244845718,False,0.0,254,1782795605,1783706407,0.0005,0.27
19,380-399,380,399,21644790142840323701934605304837481399502660427977657399802161035147806862668,False,0.0,254,1782795606,1783706408,0.0005,0.28
20,400-419,400,419,7079223301949729038357502225428944216154986694787535198480871878054837101942,False,0.0,254,1782795605,1783706405,0.0005,0.269
21,420-439,420,439,49651106783702104666748825238356412113969228754187336952919581204796434044431,False,0.0,254,1782795605,1783706405,0.0005,0.08
22,440-459,440,459,18959663960134090445640545794111818622320443830422350428058475304424992865526,False,0.0,254,1782795605,1783706407,0.0005,0.0795
23,460-479,460,479,69869600415169334056789511132251351987664460661157157496807229375823545675567,False,0.0,254,1782795605,1783706405,0.0005,0.0005
24,480-499,480,499,48586699144972960097898106544252292913947340737668129867947852739242235904837,False,0.0,254,1782795605,1783706405,0.0005,0.0005
25,500+,500,999999,72201073800451511456563201896000803818341590885769575437333670843985283571118,False,0.0,254,1782795604,1783706403,0.0005,0.0015
