bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<20,0,19,15935416973516625247569294918850130867675070870367694717252566330202929133324,False,0.0,1635,1779598806,1785564027,0.0005,0.394
1,20-39,20,39,66619011636762965985139068592890582805311316717451229811963900495936902040164,False,0.0,1654,1779598805,1785564025,0.0005,0.5
2,40-59,40,59,109028648221089063131337949882078785643599073641393633502344735157312439835923,False,0.0,1654,1779598805,1785564024,0.0005,0.4745
3,60-79,60,79,54497670536298588194671406207075817493102795295775410781751276287999149854682,False,0.0,1611,1779598807,1785564028,0.0005,0.393
4,80-99,80,99,88516660976919781405613217984730712901614745782519029618649299741668182782472,False,0.0,1639,1779598806,1785564027,0.0005,0.474
5,100-119,100,119,11775908708147032762800911254881117190289801255171261557788640930575294891697,False,0.0,1611,1779598807,1785564028,0.0005,0.4735
6,120-139,120,139,23073592821777975011635289846955651990808712518895220981465336402687613356471,False,0.0,1653,1779598805,1785564026,0.0005,0.5
7,140-159,140,159,78446232895528932902178776830797498822028771332656257410107609531154001646072,False,0.0,1654,1779598805,1785564024,0.0005,0.4745
8,160-179,160,179,88031731672069006092802792630600083634759427986613718225935426078738860040065,False,0.0,1625,1779598807,1785564028,0.0005,0.393
9,180-199,180,199,75450239408240476708484388083915939662007465615599866129235571327188207992166,False,0.0,1611,1779598807,1785564028,0.0005,0.4745
10,200-219,200,219,35059035163064231539626288104378022379986346023893774791799024996216539850179,False,0.0,1653,1779598805,1785564026,0.0005,0.255
11,220-239,220,239,39935545960055549190543207005510306257118336925895914179715154026022094686224,False,0.0,1654,1779598805,1785564024,0.0005,0.3
12,240-259,240,259,65494653166008538198391270975831012503412826392850756084234998721549785187245,False,0.0,1614,1779598807,1785564028,0.0005,0.4745
13,260-279,260,279,105340893661750120685028428976386923325140613259654424669708571160296413883892,False,0.0,1622,1779598807,1785564028,0.0005,0.3925
14,280-299,280,299,52310896004665375277846813163074791597694448017694231062263647220464591230129,False,0.0,1656,1779598805,1785571209,0.0005,0.255
15,300-319,300,319,104018873250731548232306036778875062460878991641582517219542671623401604395412,False,0.0,1653,1779598805,1785564026,0.0005,0.235
16,320-339,320,339,1325286795752513803580581435224506755721403359360438500078691678796851000944,False,0.0,1631,1779598807,1785564027,0.0005,0.25
17,340-359,340,359,56339802257198466697308066601123014630415226024549410048599691926797451613675,False,0.0,1656,1779598805,1785571209,0.0005,0.278
18,360-379,360,379,37199523346475239429578590579747850119839564767292340092564842553787182652243,False,0.0,1629,1779598807,1785571212,0.0005,0.3925
19,380-399,380,399,93947618264544123326253566937827456984513714268539516848957092930326618828629,False,0.0,1656,1779598805,1785571210,0.0005,0.255
20,400-419,400,419,60576522729122009286097661357689559206700311716306624586644200566638589500347,False,0.0,1655,1779598805,1785571210,0.0005,0.25
21,420-439,420,439,49091040151163053699604601764111321411714255051528625766976627392081837123684,False,0.0,1653,1779598805,1785564026,0.0005,0.489
22,440-459,440,459,63001982671213571957908589247104455744719373776994794211649146265536271169976,False,0.0,1637,1779598806,1785571211,0.0005,0.265
23,460-479,460,479,109164377077125334305365275091945802688640071783766600176900049613591582037349,False,0.0,1625,1779598807,1785564028,0.0005,0.4745
24,480-499,480,499,87611645290743486562186473225851024138573478651657659232581054834803627270102,False,0.0,1641,1779598806,1785571211,0.0005,0.393
25,500-519,500,519,67802985435322188980086723376141060947427155806242371687143773365420666227411,False,0.0,1654,1779598805,1785564025,0.0005,0.3595
26,520-539,520,539,91307790940947272750282650578681173141501580240708603555811960672291519096818,False,0.0,1655,1779598805,1785567609,0.0005,0.245
27,540-559,540,559,103684245271017354123606139001944564612488572010376216875309700434523877320960,False,0.0,1648,1779598805,1785567610,0.0005,0.4745
28,560-579,560,579,83857791762232284405500743863031264567769054510779624852784727782915540728523,False,0.0,1654,1779598805,1785567609,0.0005,0.235
29,580-599,580,599,65170646986087135597146372343194623710760549400443102521598250570329157352180,False,0.0,1637,1779598806,1785571211,0.0005,0.289
30,600-639,600,639,73523794772310450387922196548201875947571921033833445639753472694147561951926,False,0.0,1652,1779598805,1785567610,0.0005,0.474
31,640-679,640,679,4173177218380141968848074327446197145396512213357525194630080334872476442266,False,0.0,1634,1779598807,1785567611,0.0005,0.265
32,680-719,680,719,41837623968716518132918835473684887548824674784557837516839857775716438546225,False,0.0,1636,1779598806,1785567610,0.0005,0.498
33,720-759,720,759,36774525238532548940029414616580474627745208787030045989879358274951377795930,False,0.0,1640,1779598806,1785567610,0.0005,0.5
34,760-799,760,799,38903939720713967692413071655207865596708498358692230180378241661499091882715,False,0.0,1634,1779598807,1785567611,0.0005,0.367
35,800-839,800,839,1707368750655856606228224864487154960487308712800306294396796577689960091799,False,0.0,1655,1779598805,1785567609,0.0005,0.617
36,840-879,840,879,10485071843570069829699590943064463274993427459754799104941672250607207418462,False,0.0,1636,1779598806,1785571211,0.0005,0.8265
37,880-919,880,919,7141568088128014257498763247461380776018869454736505088446870587411671813528,True,1.0,1655,1779598805,1785571210,0.0115,0.9995
38,920-959,920,959,26248659551272060823753358283451192934846192000740324802569245121978792147249,False,0.0,1656,1779598805,1785571209,0.0005,0.265
39,960-999,960,999,106300645617488679877090560703096571990523825215947623055356955729463494546471,False,0.0,1656,1779598805,1785571209,0.0005,0.494
40,1000-1039,1000,1039,34400250165254010033059092469600974152703763350134072366884145424864948875305,False,0.0,1653,1779598805,1785567610,0.0005,0.499
41,1040-1079,1040,1079,37541957395393424235768489663747328345373612921083159953743372694820384781852,False,0.0,1645,1779598806,1785567610,0.0005,0.255
42,1080-1119,1080,1119,58006333944373227941907226879533176158414335879344837239263178026551762894069,False,0.0,1636,1779598806,1785567611,0.0005,0.4965
43,1120-1159,1120,1159,100682113681796877006676777928922919450831801476063076437812902861520634435432,False,0.0,1652,1779598805,1785567610,0.0005,0.5
44,1160-1199,1160,1199,88519502478508172850396473088466269556496190459949776322849259509605198292522,False,0.0,1653,1779598805,1785567610,0.0005,0.361
45,1200-1239,1200,1239,66868239103474750545750133530864402771823733033597302105031489300126598996105,False,0.0,1655,1779598805,1785567608,0.0005,0.26
