bin_index,outcome,lower_bound,upper_bound,token_id,is_winner,final_price,data_points,first_ts,last_ts,min_price,max_price
0,<40,0,39,56297512960096074932313582561096713366504564525032465064116307955329272802060,False,0.0,80,1785186028,1785520813,0.0005,0.425
1,40-64,40,64,47820032210944631464436274961964850254436103854779565427322605813351860140223,False,0.0,101,1785186005,1785549607,0.0005,0.545
2,65-89,65,89,56935300023315259601937627162026684325174187008635331305400887664782174426246,True,1.0,116,1785186020,1785607208,0.215,0.9995
3,90-114,90,114,37535125952391345369128785282985993873297849728010894879317768218154662856222,False,0.0,111,1785186026,1785607209,0.0005,0.445
4,115-139,115,139,81398726760697710805472284994866411159920165486173552895566136265149297395125,False,0.0,101,1785186036,1785607210,0.0005,0.425
5,140-164,140,164,28298251489230079063881139261597307296378980316919213106800487636164064604887,False,0.0,100,1785186036,1785607210,0.0005,0.42
6,165-189,165,189,72995878629905721023606437767031493818035597247951180117551501277662127969436,False,0.0,90,1785186045,1785607211,0.0005,0.42
7,190-214,190,214,89753249479334925620485026451284230310413533869945929609307710159276711023979,False,0.0,117,1785186013,1785607208,0.0005,0.42
8,215-239,215,239,82191049701452075697716831961074363559228121049581466338791742216631993320390,False,0.0,117,1785186005,1785607206,0.0005,0.42
9,240+,240,999999,75685998098737819650509078315849781212693110660761044466980716840079718234946,False,0.0,110,1785186026,1785607209,0.0005,0.42
